"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor    488-A","BIM AF647-Alexa Fluor    647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","SampleID","Time"
304339,259833,86,250305,212883,88,11098.6,272224,9475.54,55136.6,2130.73,-86.726,63893.6,203513,71517,-19926.6,91446.2,9.08062
312284,274735,88,217553,186417,83,10885.5,199782,8120.77,76684.7,3206.45,33756.9,2937,364346,95561.5,-37693.3,81545.9,9.13415
327518,284733,92,312472,273914,88,13504.7,117669,9883.42,141977,4985.73,5117.73,3661.86,250393,60407.9,-28667.8,87411.3,9.16936
319709,293375,84,257972,229831,85,11241.7,139374,11424,82869.2,-110.08,2432.81,2309.79,238581,58647,-26816.3,98968.7,9.17077
334222,292147,88,206235,179145,85,9384.87,112938,2209.36,40588.9,2943.52,-1637.26,36017.5,13403.7,79569.5,1242.48,78363.5,9.17922
320097,290620,91,175783,157476,83,9423.14,145147,3450.72,38491.8,607.638,3117.53,3579.03,214810,76709.6,-23555,70765.3,9.20457
288193,267871,83,225637,203859,84,11291.7,131851,3931.45,93363.4,1345.74,23028.7,2056.46,324220,64973.1,-36929,113053,9.29753
351414,301765,88,342088,289236,90,12292.1,141816,11657.7,91111.8,4448.82,-581.408,4147.04,273766,37852.6,-25259.2,92333.6,9.33979
319683,288749,88,262664,236591,85,12030.7,164390,2375.92,37653.4,1468.3,6724.59,4290.24,359459,67929.9,-35877.4,109866,9.37218
324809,291278,86,270737,242153,85,13606.3,173807,5305.15,64655.4,2049.57,5364.71,4285.03,226576,81806.8,-24120.2,83688.4,9.57219
357489,319349,87,238204,211942,85,11694.8,91441.7,4547.95,50580.9,3364.97,3008.34,1762.26,306252,29264.7,-28296.8,82312.3,9.63135
344917,310818,90,238312,207742,86,11972.9,126457,2606.02,120185,2030.81,-85.1531,5224.09,302871,72373.5,-33961,83541,9.71163
380920,337145,95,361264,321686,88,15745.2,171434,4564.05,31915.6,2457.28,4614.77,3632.26,353610,96336.2,-33248.6,111482,9.79051
313221,287569,84,155903,139547,83,11348.3,121573,3269.56,56950.1,835.152,16768.3,2141.11,290703,57050.2,-29167.2,59326.7,9.80178
338589,292085,87,340713,288161,90,16564.5,230059,6670.63,108895,3230.31,14489.9,6497.51,321388,89316.4,-33265.8,95454.9,9.82572
364128,318497,88,324585,281188,88,12349.2,137800,3723.59,98802.1,1985.52,21390.1,3947.26,290832,68804.1,-33057.6,103369,9.98066
341555,312674,85,217260,199164,82,13893.7,188399,1961.87,34215.1,2540.77,6010.86,2850.17,332818,96216.2,-34632.5,66644.5,10.0356
