"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time","SampleID"
293157,272210,84,181184,168644,81,2689,-20.0624,7050.6,20820.3,2666.12,290.837,1236.54,-724.284,18572,5045.19,0.00199139,1
359781,311485,89,294931,252866,89,3580.41,1771.23,19864.6,9936,5714.73,2902.52,8341.08,605.76,38573,3238.57,0.00199139,1
309528,285396,82,189777,172871,83,2390.53,196.003,4054.5,16155.7,3327.4,12467.5,1490.29,67.5971,15062.7,3346.38,0.00398279,1
320134,295438,84,181274,162513,83,2107.86,1166.66,10808.1,16904.8,3736.96,1052.4,1038.39,210.794,18903.2,2300.64,0.00896128,1
359940,326515,88,223755,202806,85,3474.73,1200.57,23055.6,12435.9,3124.48,6210.45,1121.25,-266.417,16843.7,4229.31,0.0418193,1
308568,285121,84,180122,163754,82,3834.57,1040.31,11177,31045.2,3882.16,8376.61,1466.55,215.404,13607.8,1666.11,0.101561,1
367892,323691,88,236339,204847,87,3138.21,7411.12,16407.6,12304.5,6124.29,6672.61,2860.67,1397.2,23510.2,7421.35,0.190178,1
367819,327159,87,233679,203574,87,2874.46,2357.3,15623.4,14882.1,5176.25,21217,1159.37,548.471,20668.4,3182.85,0.200135,1
345181,314536,87,237143,210700,84,3049.97,483.628,15557.1,20512.8,4528.71,945.271,1495.52,583.06,16230.8,439.075,0.226023,1
378884,346778,86,210402,185475,85,5463.63,490.216,10167.9,8825.41,5937.38,8052.59,340.861,1702.34,14339.3,538.907,0.22901,1
295067,271408,94,164079,150922,81,2485.96,761.938,9709.93,26458.5,3190.2,7351.37,1680.84,-182.947,15098.3,2259.67,0.254898,1
352816,304480,95,310294,248808,99,3959.74,799.104,14418.7,13450.8,4079.4,6785.66,2176.28,53.9326,26960.7,2907.91,0.352477,1
363084,336355,85,226646,204533,82,5511.5,898.5,10264.5,14811.5,5661.48,8909.45,1284.87,94.6706,19094.1,3158.98,0.419189,1
347976,299240,90,225852,186779,90,5588.31,1153.43,14878.5,7583.13,5955.21,3036.58,2152.37,1268.99,21675.6,5002.65,0.49287,1
326788,289091,89,174409,151863,83,4699.51,-254.144,8319.4,9689.63,4765.54,16741.4,788.131,1028.33,20548.2,2391.51,0.493866,1
319547,291302,88,191131,170713,84,3704.3,665.041,26918,13005,1891.14,2706.37,1237.09,479.465,21554.5,3354.05,0.524732,1
303561,272416,85,213215,192288,83,2459.51,1084.43,9495.47,19282.6,3069.99,3437.45,2764.68,1203.99,16282.3,749.755,0.562569,1
346205,313717,99,269887,239780,86,3916.9,1510.05,21545,17681.2,4380.52,11387.7,2035.7,751.577,24007.9,3820,0.626294,1
465301,403179,100,266810,227564,89,8237.82,1770.78,17295.5,26413.5,5510.06,6564.85,3363.39,-142.286,41434.1,780.297,0.628285,1
331424,303574,84,215014,195938,84,2397.2,1444.94,14846.9,9798.24,5043.83,439.57,1569.77,582.818,17651.4,4352.49,0.673091,1
339646,313274,85,220642,196559,84,2982.45,788.263,5661.92,15323.1,3452.29,19238.2,1513.7,-202.227,15237.3,2324.23,0.675083,1
339680,305778,91,215618,195993,85,3039.95,1108.35,7271.6,15196,4802.59,17200.6,2732.73,-603.973,25119,4322.75,0.766687,1
296987,273622,86,163741,149794,84,1468.07,936.123,4826.9,13022,3087.29,12227.8,788.035,752.866,12639.8,3482.23,0.80751,1
318190,285522,86,238789,211886,85,3189.63,2483.08,12928.3,15070.7,3107.01,12598,2464.47,-65.8693,16816.2,3722.47,0.860282,1
320066,293099,93,194565,179186,83,2912.88,-69.6511,9356.6,20195.3,4288.5,16827.1,391.835,574.208,17650.5,3431.18,0.901106,1
388326,352057,90,273943,246558,87,4534.62,3870.6,20662.1,10043.6,6246.83,3863.42,1839.77,1252.35,11839.7,1707.45,0.972796,1
372341,329396,91,252809,216409,87,3297.61,2300.37,20894.8,12185.4,4971.8,8692.44,2092.72,330.273,19886.1,802.581,1.02457,1
271509,253514,83,210174,198045,81,1785.32,1248.59,6883.4,11999.5,3495.13,3377.62,384.022,473.187,4830.39,3363.83,1.06241,1
341888,313622,86,181277,163490,83,6155.92,-171.587,4053.57,11977.3,2668.4,5415.43,1308.38,-257.506,17612.1,2840.16,1.12116,1
320337,282641,91,261488,230216,86,3585.99,1906.16,33202,14273.8,2929.91,1994.59,3115.36,382.589,34095.1,2516.08,1.1341,1
331549,294866,86,230817,206282,86,3629.83,873.398,9777.06,23801,4902.81,3701.74,2135.01,279.908,28371.7,1312.66,1.14107,1
293980,269358,87,182683,163171,82,1845.78,745.687,10328.4,29496.2,2616.34,15788.8,1537.57,327.982,16866,3057.35,1.16397,1
383271,348081,91,244187,218288,87,4277.46,225.239,6006.96,9004.04,6282.69,5835.24,1689.91,-62.0179,11922.8,1584.27,1.19583,1
301429,271439,87,168869,150285,82,4550.63,1149.14,30375.8,12952.3,3043.9,1608.54,2138.84,-580.273,23762.3,570.876,1.25657,1
330260,299209,86,186937,169522,83,3367.34,975.461,15896.2,10675.9,5163.19,15369.7,2012.71,578.79,18651.2,3839.6,1.26055,1
305245,276377,86,191954,170412,82,2613.43,561.422,12287.7,23945.2,3250.62,12541.7,1842.2,170.327,15193.3,4775.56,1.30635,1
304628,280046,84,176516,159420,83,3572.63,1438.88,5511.36,15799,2813.62,503.777,1576.28,884.44,9606.23,1356.77,1.32627,1
352676,316404,85,223808,197097,85,5499.68,2799.25,19239.4,12082.6,5621.8,2472.28,1941.39,1009.46,22464.6,1312.97,1.33324,1
260589,243249,81,156944,148073,78,4597.22,803.854,5909.67,12794.7,3883.01,3407.62,1284.79,264.161,13207.4,7768.83,1.33822,1
370801,335029,92,242616,213921,86,5563.16,1139.99,9748.7,11710.6,4506.89,11932.7,2027.86,-60.4612,20332.6,1959.25,1.34419,1
277841,257383,84,126867,117493,81,1700,783.049,5032.65,9577.25,2858.24,9536.98,2118.6,139.864,16034.5,4331.38,1.42186,1
312088,286234,87,192551,180157,82,3724.33,265.901,11605.2,28832,2589.59,2490.62,998.503,-21.3942,13149.3,1840.04,1.4338,1
371772,320869,88,299157,252437,88,6336.17,1911.1,6481.23,15790.2,5830.79,-41.6743,2550.73,1324.27,20964.2,3.48565,1.46367,1
394465,345722,89,303968,261716,87,4081.99,1539.58,22917.8,13444.4,4029.33,6051.47,3753.75,-224.962,25757.4,22.7575,1.49454,1
348491,307708,91,259959,221734,86,4412.54,678.109,7789,10722.4,5643.81,16912.5,2259.6,-552.146,26503.9,781.314,1.54034,1
330825,306500,88,172549,158194,82,2447.7,825.626,6384.72,14835.3,4721.19,16538.2,1272.66,478.445,12930.1,4394.52,1.54234,1
333124,300580,85,235988,205668,86,3886.85,1836.85,14172.5,19496.6,4336.33,1243.09,1771.28,30.2473,19206.4,551.6,1.61602,1
294159,267362,86,200329,182838,82,3053.6,1127.21,4445.65,10878.8,3475.64,408.242,1932.02,158.752,21107.2,1891.44,1.63593,1
312596,286751,83,189541,167662,82,5558.12,1032.5,5749.94,8301.35,2629.65,3819.48,987.945,172.377,22374.1,2693.84,1.67974,1
362603,325056,85,222020,198348,84,10569.5,1.71193,15319.9,14322.4,4153.87,3098.13,1774.36,149.987,19412.9,1935.6,1.68771,1
319580,274911,100,237472,203116,87,3592.74,285.976,4459.25,28849.1,4661.9,11366.8,322.753,14.95,22867.2,118.598,1.69468,1
320410,293553,82,221299,195475,84,3430.65,1442.14,11919.7,10256.8,3005.05,14921.5,746.497,555.338,20536.7,3140.53,1.70264,1
321750,287099,94,227549,200390,86,3393.48,1668.04,5233.11,13426.9,3689.47,12775.4,3233.61,653.493,24700.7,1932.8,1.80719,1
322902,287984,86,188904,161072,84,3533.43,2675.34,16522.2,11729.9,5691.67,2169.29,3354.6,683.484,27603,3834.97,1.80918,1
365745,329926,85,226936,200076,86,3548.06,982.146,13540.1,9928.62,3591.7,2187.88,1655.1,472.518,16377.9,4415.49,1.83208,1
337515,303160,86,214037,187488,87,3109.16,328.567,5062.34,8636.03,6150.43,4987.68,2954.1,-370.133,28101.6,770.455,1.852,1
366651,328473,88,262422,229594,86,4248.11,940.803,5816.89,9630.63,4478.99,7941.5,1760.58,183.166,20192.7,3834.02,1.89581,1
315392,288006,84,194893,177057,83,2969.85,1233.97,11175.1,16791.3,3532.84,7865.44,1635.21,376.671,14095,8365.43,1.9436,1
342708,300558,88,295649,257009,86,4644.79,1023.39,8452.44,25096.1,5416.15,4143.69,1210.99,397.31,27506.4,2485.82,2.04417,1
272863,248003,82,199924,182336,82,1917.48,1152.59,13626.4,12149.7,2248.08,14334.5,1803.53,1576.73,20255.9,4701.18,2.04516,1
353569,311908,85,235617,202732,86,4720.92,1153.73,13153,17241.7,3416.01,787.903,4904.01,1350.5,37872.3,132.046,2.20149,1
292870,277443,79,167703,149344,81,3108.99,518.019,4418.23,14807.5,3706.25,22405.6,840.29,-111.507,20333,1720.25,2.21443,1
376343,331779,88,255757,219117,94,4409.8,1959.55,23636.2,10812.9,4544.84,2390.19,1320.49,1912.84,18501.9,2331.27,2.2214,1
382108,328539,89,310344,267393,88,7585.96,1716.68,12480.8,8273.67,5295.76,1088.44,2171.65,1075.61,37012.8,-604.577,2.22339,1
315135,281287,92,246324,215057,98,2620.76,198.441,19255.8,26317.5,2461.46,9817.51,5252.38,690.958,30569,1069.17,2.23634,1
266391,247726,81,170126,156051,81,2175.57,-109.878,8374.95,11311.2,1941.98,13317.2,1476.87,-442.285,16124.8,2700.09,2.26919,1
281431,262043,84,154463,141897,81,2061.06,1181.66,9217.49,8689.58,3188.86,13828.1,1231.6,299.42,13309.7,3886.62,2.31798,1
288231,265395,85,135045,125930,80,5237.95,194.963,7132.57,17486.5,2008.37,10533.4,1683.16,209.562,13866.6,4680,2.34686,1
336287,303887,86,259873,231009,86,4402.33,1615.86,8362.5,14379.4,4492.72,8528.28,1091.81,-9.43003,23591.6,2089.3,2.35383,1
347869,310961,86,241159,214819,84,3433.65,2694.71,24264.3,8122.69,4830.84,3784.98,2960.43,14.0181,26626.5,-708.691,2.39366,1
