"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time","SampleID"
292153,271523,87,176761,163907,84,7759.81,204018,3496.91,26897.6,-2195.92,4049.87,2962.65,140485,76354.2,-8750.39,0.165462,1
331130,315739,85,279420,259363,87,7222.94,159142,10024.6,36899,1104.44,1580.1,2139.93,153074,48945.5,-13151.7,0.172656,1
378597,338679,93,356695,318781,90,9387.2,104049,14283.4,25350.6,2159.44,1619.1,853.274,191500,29758.4,-15969.8,0.198349,1
293558,271935,86,271111,235770,89,5652.86,158468,8477.75,43023.7,2307.2,6342.31,1752.94,121505,45712.4,-7774.48,0.200404,1
267765,231417,90,343908,296163,90,6684.29,144064,15613.5,27666.5,561.396,3509.66,1739.65,188295,36377,-14321.7,0.208626,1
344084,300237,90,303755,260463,93,9106.87,157427,18030.3,34046.9,1611.98,2558.84,2946.31,238074,46973.7,-19605.8,0.211709,1
309774,282068,89,171926,156972,87,5709.77,142273,9097.15,21929,647.773,2566.12,1506.38,213402,24241.5,-18174.9,0.216847,1
361461,312045,101,419955,355013,94,16810.8,273387,32319,89964.9,-1146.77,2630.88,3172.14,166809,78261,-12690.1,0.217875,1
362770,329614,90,312165,276185,89,8743.21,194565,16568.6,20210,536.441,934.692,2390.87,222277,62274.2,-17333.7,0.22918,1
262623,253568,83,168623,159471,82,4156.99,184427,2491.62,20790.7,-778.667,11440.5,1112.43,185470,24751.5,-15094,0.232263,1
237642,213140,88,253438,224517,85,5453.63,124183,11605.6,46661.4,-1702.05,2475.24,1640.36,175015,57450.9,-13307.1,0.232263,1
299450,264491,89,369539,322822,90,8385.89,149053,30577.3,44516.6,1325.69,4976.27,4351.79,171226,52642.3,-13903.8,0.236374,1
271332,234195,90,381747,325809,90,7295.36,78680.5,30375.4,27310.6,789.495,2835.24,2432.51,170284,37835.2,-14761.3,0.238429,1
315891,282928,89,222696,196679,88,7009.39,138682,7618.65,16321.5,1169.41,2997.73,960.634,214391,29684.8,-15074.5,0.239457,1
247529,227349,84,164731,148409,86,5540.35,175788,5889.12,34603.3,-281.64,7583.57,2264.17,155549,36954.5,-10761.1,0.24254,1
313753,290635,87,308393,272323,88,9246.71,237894,9481.14,56507.1,-486.146,-877.3,3860.29,172590,68188.7,-14444.6,0.253845,1
342074,315289,90,243428,216950,89,6809.28,66422.5,14484.4,38884.9,2516.67,2979.42,1753.38,109919,20823.7,-9207.98,0.257956,1
275317,261657,83,147330,139599,83,4624.37,150408,5594.96,26757.5,-873.854,4291.88,604.031,179511,25915.9,-14816.7,0.275427,1
301020,275322,87,344458,299750,88,5960.2,184396,13781.6,35886.5,-747.187,6236.14,3793.82,244767,49505,-21468.2,0.283649,1
349210,319416,88,268961,241725,88,10161.9,183494,17921,43164.9,-1023.76,-281.951,1677.57,243106,62321.5,-21010.8,0.286732,1
284213,268211,86,149120,143687,82,5324.6,137266,7186.66,44854.7,-2209.14,5152.36,941.216,137324,41058.8,-10826.4,0.286732,1
238985,227583,88,125183,115294,80,3337.72,114529,3534.13,16632.3,-432.277,5135.4,1341.53,171402,19516,-14544.5,0.288787,1
259862,236276,87,222352,199189,84,4717.45,148421,15514.9,37492,-505.941,1704.74,1734.24,203192,41163.4,-17865.1,0.297009,1
210269,184206,85,274201,248890,84,6165.77,168805,6050.21,57747.3,-791.739,10020.1,3087.52,221971,29282.9,-17714.8,0.298037,1
370732,325864,91,365556,324348,91,10578,203986,31414.2,29791,-714.686,-317.085,2867.74,187284,78155.5,-16091.9,0.298037,1
317954,297652,85,268396,247658,86,7567.38,121691,13345.5,16637.1,278.567,1459.44,1974.04,133041,45345.5,-8582.19,0.302148,1
223136,190934,92,399642,332677,89,5152.72,175573,22133.9,29160.8,725.684,-2256.51,2869.55,268010,51738.5,-22044.6,0.317563,1
304104,275951,85,335026,288893,92,10621.9,176311,32336,16728,-1113.07,669.167,3784.63,198285,60017.9,-15830.5,0.317563,1
207883,189374,82,280094,248079,86,6360.86,173283,9425.38,44836.4,-217.895,4413.42,2564.96,242597,31012.8,-18358.5,0.319619,1
295096,275381,85,237295,210683,87,6739.47,141658,6493.08,12141.1,-910.186,3601.18,854.958,195308,43532.3,-16326.8,0.331951,1
268266,256223,83,168514,160323,82,5340.28,179436,3862.06,8378.67,266.069,3125.39,2128.36,128963,35589.7,-8583.22,0.332979,1
189088,174931,82,178928,171095,80,4650.38,108525,4818.35,48792.2,-236.426,2667.28,2538.79,116282,36384.9,-7205.43,0.339145,1
316482,293164,87,214946,187839,88,7837.05,174085,9769.12,19894.1,-1346.45,1524.53,1942,144704,74856.2,-10525.5,0.351478,1
