"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time","SampleID"
365224,320969,95,382358,336267,94,4854,-1355.48,19460.7,50281.3,2517.42,783.824,1478.09,262.11,26359,2269.2,0.224407,1
336619,303739,88,293628,261019,89,3238.51,73.6323,13117.5,27458.5,-307.74,2214.97,1202.73,218.425,31454.4,-33.5155,0.226466,1
347881,310758,98,378235,343875,90,2811.04,1091.4,19496.6,32187.3,3055.29,6961.61,1825.75,766.244,21552,-114.772,0.230584,1
199988,172854,88,251294,224869,85,1911.04,-353.911,7606.12,31535.9,-144.115,7359.87,1845.47,586.955,20598.5,3821.25,0.242936,1
231954,207952,85,297253,268449,86,2718.52,-1402.14,4895.02,8759,1325.76,6549.93,1721.78,-231.651,25313,2241.39,0.244995,1
383912,343250,92,323086,281723,91,4127.49,-1672.14,17913.7,31760.5,889.724,1226.05,2213.1,-20.2957,26761.9,488.495,0.251171,1
341385,305793,89,332164,289917,90,5635.61,-155.469,11018.1,30241.8,486.994,130.812,2561.06,-218.456,37238.3,91.5733,0.25426,1
349056,303800,94,407105,357093,91,4225.89,-800.907,21874.9,53625.3,719.623,4172.43,2760.49,367.604,26888.4,763.142,0.258377,1
212703,183574,84,326934,281788,87,3130.65,404.83,8741.68,22656.7,1021.93,4909.9,3044.78,-826.328,25073.8,285.955,0.266612,1
316116,291657,87,179701,166783,85,4286.77,-1290.81,12298.1,38815.9,1023.62,2747.76,435.572,368.125,16593.9,728.522,0.274847,1
260421,245945,85,146226,132799,82,1586.71,-1152.34,4918.92,15248.7,1635.89,745.386,-424.851,275.072,8868.32,2646.15,0.276906,1
317884,296774,91,218513,205449,85,3404.66,-633.753,7596.35,38588.1,318.812,10347.3,96.2421,1111.47,10252.5,448.121,0.279994,1
339402,300684,94,450942,411682,91,3259.77,-334.034,8302.36,16909.5,1184,1205.3,1935.81,771.351,34355.8,1216.92,0.281024,1
281681,271156,84,165156,155991,82,1895.55,553.97,6323.39,42037.2,969.712,3223.57,1526.35,-26.4,12842.6,-149.295,0.282053,1
277740,254603,85,263630,242587,86,1971.1,1044.7,3738.53,41726.2,1263.81,6606.26,1035.71,274.442,21725.8,561.689,0.283083,1
286103,265020,87,191869,179708,85,4218.69,196.142,5292.59,25416.9,962.521,6180.88,320.06,-401.268,15447.9,2042.13,0.295435,1
300014,282160,85,194187,178961,86,1819.45,383.076,6911.21,30722.3,869.055,5545.17,325.005,-525.902,12919.9,2975.91,0.30367,1
328522,296339,88,297130,270096,88,2597.76,29.3001,9136.51,35209.3,115.133,2259.5,2534.69,221.136,23902.1,66.3543,0.3047,1
297752,280763,87,218936,198768,86,2656.41,-226.812,15290.2,18282.3,1614.07,2299.32,1292.72,-633.521,18131.2,11.4204,0.306758,1
221118,199621,85,275648,248082,85,2209.53,600.212,4334.03,27122.8,260.642,1781.57,1166.87,1225.38,21438.1,613.527,0.306758,1
315763,297815,88,241724,231524,83,9172.76,-887.714,10175.7,29588.5,2926.11,2316.08,1186.35,-356.668,10320.8,720.278,0.310876,1
344506,311676,86,373208,332678,90,4623.45,-1129.48,22380.6,51010.4,3407.74,1486.92,3517.3,498.959,22802.6,587.56,0.312935,1
269913,247695,87,241007,219761,85,4376.67,-727.719,12527.9,35706.3,1278.27,2561.29,5792.89,-365.989,16216,268.705,0.318082,1
305669,273805,90,235227,210254,88,2467.89,-501.665,7693.49,53542.8,2296.37,15455.1,709.809,1383.65,19989.9,1103.88,0.328376,1
501729,319485,104,390748,259718,103,5076.94,-1869.12,11640.5,24822.5,1665.68,2265.34,4292.25,234.298,32438.4,2979.17,0.339699,1
342244,307300,89,367680,326143,91,4390.85,-1232.14,13847.6,33363,431.302,2407.77,2238.88,947.436,28311.6,2718.51,0.345875,1
318744,290913,90,336482,305395,88,3474.42,-2020.7,18461.2,21849.9,561.883,638.755,3821.61,506.416,30447.5,690.346,0.359257,1
266074,253682,89,143183,135554,82,2040.87,1014.66,6240.02,132339,624.452,16574.5,751.102,471.372,14430.2,2463.17,0.360287,1
261308,251459,82,167165,157121,83,1561.76,-714.813,7868.65,45241.3,1487.25,7050.88,543.316,-127.455,10123.1,604.31,0.363375,1
303228,282065,87,217762,202172,86,2226.07,-728.592,10807.9,39642.1,1512.12,3302.31,1258.24,-58.3424,19283.3,522.504,0.37264,1
332214,307170,88,219861,198815,88,3351.42,-1488.81,8689.69,50684.8,768.306,2843.12,1530.74,31.3923,8779.49,321.705,0.377786,1
271668,246374,87,269162,241318,87,2304.05,-1747.69,7805.13,17811.5,-274.161,2320.94,1198.28,-66.4738,16013.6,907.856,0.380875,1
238431,206049,93,287331,258578,86,1961.85,-1865.07,15040.8,47916.2,868.817,2486.49,2130.47,-75.2123,19776.5,424.033,0.383963,1
304698,287384,86,229535,212519,86,4179.83,339.286,6196.27,16670.1,1171.41,6455.74,727.103,-691.465,16956.9,-199.894,0.386022,1
319456,293560,87,333366,305821,88,3633.36,-946.889,8747.43,21073.8,2370.05,4585.49,2169.96,1184.23,21964.2,864.731,0.419992,1
297708,280902,93,215547,203802,85,2741.02,-1222.15,13205.6,61776.3,214.778,1394.59,963.37,-300.236,11599.5,549.021,0.443668,1
333217,288165,94,349241,294630,93,2938.79,-1358.52,29050.8,19733,2277.11,3999.7,873.226,-22.4529,34954.5,1334.73,0.461167,1
289616,271210,85,157846,147803,84,3051.2,66.3575,10433.2,35727.8,2096.66,2977.97,662.618,194.279,11611.5,1088.93,0.464255,1
238231,209882,84,363177,319011,88,2165.94,-3195.22,25845.2,36766.5,-975.534,2419.16,5180.14,1528.47,28829.1,596.937,0.480726,1
261169,227667,87,293081,252444,89,3881.56,-590.594,14667.7,37397.9,2049.73,1253.85,4426.23,156.949,22165.1,998.672,0.483814,1
229823,194252,90,473864,403073,89,2718.63,-1937.38,42709.4,14422.2,1578.75,4223.45,3246.17,1089.86,28021.6,1022,0.483814,1
314676,280252,91,300971,268471,90,3673.05,-1929.63,21741,30857.7,1371.85,1375.54,1446.01,-1083.51,25725.7,540.311,0.484843,1
322393,294174,89,273924,247279,89,3429.2,-1029.76,21419.8,30004.5,2845.94,3324.83,1786.2,1408.84,24679.4,-63.9908,0.494108,1
