"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor    488-A","BIM AF647-Alexa Fluor    647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","SampleID","Time"
267364,240944,91,316915,285867,88,5974.29,153886,11559,17153.6,2286.85,6512.95,1977.56,590059,42080.8,-50130.9,111676,0.0013392
229333,211850,83,227404,206061,84,6312.68,150622,5132.24,23989.9,1000.73,-501.891,1790.17,435463,36737.9,-37191.6,104523,0.0294624
210669,181283,90,413647,345713,88,6080.18,179790,10566.2,16987.7,1359.06,4330.13,3750.92,718198,40080.9,-61201.7,77500.7,0.0388368
335321,296142,88,289019,247995,90,7985.36,94545.1,15288.7,48592.3,3894.79,1038.18,927.783,298184,18092.2,-24608.5,92896.2,0.0616032
248090,226775,85,296055,265354,87,5327.55,117663,5104.76,12343.5,2576.61,1251.57,383.467,678316,11934.2,-57966.9,103520,0.0642816
320786,283524,90,341290,296402,92,7919.38,146926,11565.3,49127.8,1673.11,1520.12,3064.93,274316,67659.5,-22384.8,121533,0.0749952
374468,324529,90,352621,306909,94,6549.92,169428,8798.6,18077.2,2887.71,366.816,1631.78,310236,40013,-26049,53652.5,0.0763344
310802,283605,88,242495,216985,85,8704.72,164343,10581.7,59860.2,101.693,10127.6,2175.18,309718,64597.5,-24381.1,70143.2,0.0763344
363354,322816,98,316932,268787,92,7748.47,164878,17537,31587.7,-2150.58,-707.753,2916.33,331515,70026.1,-27519.1,106568,0.0857088
301972,264044,88,370524,320970,90,8922.89,142538,13970.3,14968.6,581.981,1028.68,1669.64,222466,50690.6,-14462.2,122516,0.0950832
332213,315319,84,247434,224712,87,5547.3,124584,12175.9,39815.1,1750.46,5565.5,622.474,349803,43530.3,-28922.7,84479.2,0.10044
420917,372728,95,375491,328302,94,10207.9,114093,4261.48,40229.2,4437.66,3048.84,1331.89,472392,19857.1,-40556.2,53591.5,0.152669
