"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor    488-A","BIM AF647-Alexa Fluor    647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","SampleID","Time"
284213,268211,86,149120,143687,82,5324.6,137266,7186.66,44854.7,-2209.14,5152.36,941.216,137324,41058.8,-10826.4,71231.8,0.378154
238985,227583,88,125183,115294,80,3337.72,114529,3534.13,16632.3,-432.277,5135.4,1341.53,171402,19516,-14544.5,76116.6,0.380865
259862,236276,87,222352,199189,84,4717.45,148421,15514.9,37492,-505.941,1704.74,1734.24,203192,41163.4,-17865.1,72104.3,0.391708
210269,184206,85,274201,248890,84,6165.77,168805,6050.21,57747.3,-791.739,10020.1,3087.52,221971,29282.9,-17714.8,87921.4,0.393064
370732,325864,91,365556,324348,91,10578,203986,31414.2,29791,-714.686,-317.085,2867.74,187284,78155.5,-16091.9,60566.8,0.393064
317954,297652,85,268396,247658,86,7567.38,121691,13345.5,16637.1,278.567,1459.44,1974.04,133041,45345.5,-8582.19,109521,0.398485
223136,190934,92,399642,332677,89,5152.72,175573,22133.9,29160.8,725.684,-2256.51,2869.55,268010,51738.5,-22044.6,64679.6,0.418816
304104,275951,85,335026,288893,92,10621.9,176311,32336,16728,-1113.07,669.167,3784.63,198285,60017.9,-15830.5,86173.8,0.418816
207883,189374,82,280094,248079,86,6360.86,173283,9425.38,44836.4,-217.895,4413.42,2564.96,242597,31012.8,-18358.5,60681.3,0.421527
295096,275381,85,237295,210683,87,6739.47,141658,6493.08,12141.1,-910.186,3601.18,854.958,195308,43532.3,-16326.8,88740.4,0.437791
268266,256223,83,168514,160323,82,5340.28,179436,3862.06,8378.67,266.069,3125.39,2128.36,128963,35589.7,-8583.22,53917.2,0.439147
189088,174931,82,178928,171095,80,4650.38,108525,4818.35,48792.2,-236.426,2667.28,2538.79,116282,36384.9,-7205.43,51358.1,0.447279
316482,293164,87,214946,187839,88,7837.05,174085,9769.12,19894.1,-1346.45,1524.53,1942,144704,74856.2,-10525.5,65247.9,0.463544
210039,189241,87,266532,245971,85,5778.76,198176,8419.29,34443,11.9204,11957.4,3263.46,158487,48240.9,-9824.31,54126,0.50014
282763,260944,90,246661,227819,86,5851.37,166485,6478.64,27217.7,-1285.74,2777.8,1675.07,252746,41282.3,-21552.3,117482,0.515049
220631,194610,87,283596,249298,87,5943.76,113525,8329.3,45739.4,-2479.47,2379.01,2865.52,191007,46126.1,-14635.6,82944.4,0.519115
295515,266570,89,231803,209078,87,4928.7,169754,4411.05,20961,-228.416,946.796,2245.19,233117,28852,-17381.6,62533.5,0.566554
318442,288248,88,334421,292988,90,9473.44,190221,32513.3,16618.7,-1969.3,5686.43,2887.18,163472,64048.6,-11780.8,83031.3,0.586885
287755,261427,86,351644,318369,87,7861.49,152905,13747.9,55413,125.82,5266.44,2629.15,156792,57114.1,-12310.6,120130,0.615348
343378,313479,91,286853,262091,87,8498.25,122227,13229.8,26667.1,-590.048,166.344,1868.98,120887,48543.3,-10166.2,117327,0.665497
297112,276187,89,223847,204527,86,7270.94,145239,6492.19,38787.9,-21.7148,-1978.3,1421.05,190047,41806.4,-14843.2,92377.7,0.67634
221211,200068,84,265622,242355,84,6246.87,171613,7676.1,14052.2,1352.16,2493.23,2036.52,286038,36155.5,-22380.9,105244,0.679051
367361,313799,104,446173,375446,92,11446.8,183616,25922,52910.2,1215.22,4554.11,3516.3,256929,61438.1,-20385.4,51620.1,0.702093
242020,228755,86,168262,160078,83,3409.9,127430,2172.27,14094.8,208.888,1923.94,-350.405,154307,12393.7,-10301.9,69062,0.706159
254307,233597,90,240439,219899,87,5967.41,133757,4181.26,44395.3,2472.22,8664.39,1560.74,191153,28703.3,-15505.3,72926,0.712936
307964,281235,91,366529,332464,87,9388.57,198487,16999.4,46040.3,-715.113,1891.1,3299.03,179494,60818.4,-15308.6,64511.7,0.725135
185086,161915,85,216951,199119,82,4397.22,137125,10516.5,32065.3,-296.878,-956.111,1976,175340,33028,-13795.9,50037.8,0.734622
312779,280934,93,259885,231244,89,5820.45,224700,8129.36,12161.6,-253.55,1359.2,2638.66,315707,47244.1,-26241.4,79695.3,0.737333
250080,219433,93,215271,193157,85,4772.03,130062,5027.09,31734.1,-2092.91,4167.43,214.856,145882,27516.7,-9629.7,109406,0.740044
395184,350135,91,303614,269549,91,10418.9,198285,27201.5,53923.6,1116.96,8749.44,2435.56,245398,57310,-20435.7,113567,0.746821
366739,332450,93,238641,215872,90,10328.1,171793,3177.27,46207,-2635.36,4371.51,2789.81,108534,72192.6,-7758.28,85245.1,0.746821
372121,334072,92,283666,250215,90,11454,250561,11324.8,25672.3,-2998.15,-2533.28,2622.07,271714,81916.4,-22662.7,102577,0.760375
261867,208343,90,446598,343971,95,9927.5,218907,14180.6,35298.5,-771.06,4982.5,2797.27,259166,68540.6,-21828.2,85248.2,0.767152
286610,265086,85,220556,199565,87,6440.04,145260,11980.1,34608.3,883.583,1105.26,3413.35,208452,36962.1,-16819.6,72882.7,0.83221
227576,202820,86,243680,213517,85,6043.46,145616,11566.9,60822,-1211.91,6017.73,1584.37,171977,44698.8,-13117.8,109200,0.843054
234377,216920,85,192338,171569,84,4044.83,114828,4847.87,51000.9,-1128.53,9534.02,284.148,151277,31427.7,-11032,134826,0.851186
311509,292759,86,207883,191501,86,9596.09,156930,7176.89,13974.8,-918.024,4147.56,1262.92,232422,39370.1,-19340.1,110489,0.867451
247322,234402,84,193013,184821,83,3402.77,138785,3281.54,33027.6,-1122.87,5390,608.208,144489,20530,-10260,89400.2,0.876938
