"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time"
302280,274533,88,242497,221886,87,4813.06,93254.4,5058.06,22575.5,1520.06,3803.64,-499.001,437406,11172.7,-35703.8,0.406821
294006,249148,91,479214,399167,92,8589.82,209619,15141.3,16063.6,19.6117,157.867,2677.05,981450,82850.6,-82175.1,0.410859
294759,253335,90,448474,373016,92,12823.7,230211,21013.1,42523.7,-1815.81,1031.3,5521.05,335092,78798.5,-23353.4,0.414897
356349,316284,94,260117,228888,90,10860.7,247283,10449.5,26708.7,-2699.18,2487.87,2574.33,351774,91020.7,-29418.3,0.430039
321035,295886,87,275042,242473,90,4351.31,141064,6786.96,33831.4,450.849,5848.83,1170.92,593542,34738.3,-50390.2,0.463352
275670,251830,85,313735,281687,88,5870.52,101127,10959.3,59741.9,2475.24,-1839.3,870.91,342043,31695.5,-29900.3,0.463352
290692,263905,83,437994,365359,91,7528.13,88575,10334.3,25533.6,2180.59,5811.67,1935.58,381428,12896.1,-31670.7,0.465371
245390,209113,91,465462,406049,90,7148.79,127269,11130.3,26709.1,1576.75,-1052.86,3021.62,452431,47993.4,-35434.5,0.483542
340098,320174,87,192302,174168,85,7849.55,157042,3325.38,35794.2,864.261,5417.24,3122.71,335592,55865.7,-26320.3,0.522912
358683,319684,90,236227,212912,89,8734.29,154438,5641.83,37973.3,-406.19,4436.92,1701.79,166897,43491.2,-11113.6,0.58449
307014,288509,85,206079,184814,83,4826.4,60233.6,7178.57,28162.9,2066.96,8220.6,1058.36,348086,18821.5,-29040.8,0.596604
312353,293973,86,223599,209449,84,7997.91,209106,7097.93,42194.5,-621.23,8761.52,3057.91,391805,59546.6,-32994.6,0.599632
307367,281587,89,295033,269603,88,5985.1,158407,7762.56,16480.9,3510.12,-154.155,895.281,713966,17717.2,-60147.7,0.60367
330802,290081,92,350438,298250,90,9624.02,151607,30200.6,37934.1,-410.093,5769.18,2023.61,406380,69519.1,-33662,0.611746
285073,260150,86,227614,205443,86,4867.99,103867,5853.83,49762.6,1674.93,13632.8,949.327,273328,21138.9,-22344.8,0.62386
266544,241979,97,305458,280135,86,4789.01,84658.9,9024.81,28000.5,4494.27,12744.1,610.631,644963,13992.5,-55525.3,0.625879
293725,264468,87,369546,324935,88,5245.76,127189,10429.9,20569.9,3515.03,12673.3,744.975,691265,22096.6,-59380,0.626888
305989,288931,85,201803,187655,85,6950.73,215937,6532.54,24123.8,291.892,3380.45,1291.33,554241,41920.4,-44999.2,0.626888
306618,286922,85,212790,197461,85,8100.05,148751,5578.24,24187.4,-21.3359,707.486,2260.42,344820,52780.9,-26672.6,0.629917
345230,307539,88,316590,271758,90,4793.29,52281.6,22744.8,32408.2,3270.71,3396.72,-86.6269,601129,19515.6,-51598.7,0.634964
287021,272835,86,232879,220056,84,4317.56,93227.1,6400.9,8637.97,2228.84,2223.32,392.103,416544,15857.1,-32854.6,0.649097
246843,226973,86,204785,191649,83,6218.79,101184,7476.26,28160,-35.6312,12500.8,1925.74,242866,26827.5,-18303,0.651116
292338,278249,85,238210,221256,84,4945.11,151309,8350.38,17798.8,-415.074,8582.89,2119.44,467304,45378.2,-38460.8,0.658182
284475,253745,84,427368,379123,90,6788.3,101470,20558.1,41489.3,1271.77,16581.3,2943.22,566175,48357.6,-48807.2,0.671305
341262,313379,92,351251,312069,89,9542.45,192466,6906.91,26092.1,622.221,1306.62,1646.23,496539,53057.5,-41413.4,0.675343
320971,292177,86,285097,250944,88,7446.01,92501.5,3878.18,38923,4066.17,4490.13,788.661,618035,19634.3,-52246.8,0.678372
291829,266010,90,237514,213039,87,8677.8,211243,5582.68,33753.4,-772.414,6201.35,1496.43,401601,50707,-26080.2,0.691495
332145,301013,90,221505,192442,88,6275.38,150523,9169.68,36114.5,174.957,6326.09,2168.48,445182,40841.2,-37644.3,0.703609
282217,266523,86,255148,236375,85,7945.91,211601,7995.46,39914.7,-3799.58,7940.65,2658.68,329346,102250,-23583.4,0.707647
311367,282783,85,411842,369361,90,9368.55,142802,22635.9,29628,1063.83,2507.96,3547.43,456027,57405.7,-36798.9,0.707647
300548,284015,84,215185,200410,84,4042.68,104582,7947.84,33282.8,3340.24,12528.3,812.079,340419,11098.7,-27848,0.708656
231887,194498,89,400160,335646,90,8310.67,130243,8112.83,29285.1,289.047,-2571.48,3672.17,855316,41216.5,-69459,0.714713
