"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time"
393030,355399,98,221012,194196,87,9273.82,150705,19775.7,16998.3,3242.34,3800.72,2142.83,60336.7,79366.1,-4528.85,0.0374931
250273,228176,81,189396,164044,83,4919.6,66393.6,3980.91,2231.93,2098.49,138.575,1372.83,110733,25961.3,-12822.5,0.0374931
295508,281748,80,135709,124772,80,6576.61,57332.9,31535.7,2625.16,4492.33,1885.3,1741.29,31317.2,34516.2,-3772.79,0.0374931
270717,256696,81,103135,99031,78,3591.21,41729.8,22935.8,1435.11,3575.97,902.244,1389.8,28839.6,17899.4,-2072.97,0.0374931
394274,348360,91,252080,215241,88,10352.3,181850,27571.2,25387.7,2006.18,671.882,3180.08,165601,89735.1,-14732.6,0.0384798
345920,313187,91,141466,124472,83,6204.54,61280.2,2681.15,3347.35,3078.55,571.646,689.292,50724,35156.9,-5665.47,0.0394665
283906,265784,83,131529,118072,79,7975.44,76413.6,11482,4042.77,576.091,1000.42,1585.38,69007.7,48986.2,-7912.01,0.0394665
340528,313736,87,141415,127994,82,7325.36,131397,18789.5,22441.5,2440.55,1629.6,1686.67,98920.9,63301.4,-9273.08,0.0424265
280536,266071,81,141861,131286,80,10006.3,112567,29384.6,5627.02,4186.92,538.162,2612.74,63461.9,73462.5,-6952.33,0.0424265
322367,296729,84,182287,162091,84,8427.64,163872,34765.5,5170.7,5751.68,1978.14,1714.13,107086,73611.5,-12626.9,0.0434131
315841,289694,84,121343,110676,80,9607.74,137258,38117.8,4291.95,3325.34,-916.852,3098.5,74433.6,62745.6,-8207.75,0.0443998
359941,327147,87,136053,122182,82,9813.35,83879.2,6544.06,3799.54,3703.3,1744.73,744.95,66837.3,52677.2,-6765.94,0.0463731
306899,290432,81,141375,130845,80,6876.28,104967,43697,3886.04,1861.75,1006.04,1214.51,135107,48731.8,-14817.5,0.0463731
319840,293279,89,164604,151751,82,8783.17,171132,8399.79,30651.9,1956.28,703.682,2564.3,125801,91091.8,-12452.7,0.0473598
295686,248203,87,206003,170233,86,7769.39,113098,33443.1,4385.57,2353.29,-1430.91,3355.46,53896.3,61721.2,-6008.01,0.0493331
292592,228023,91,189735,140424,90,6446.75,111259,675.424,3524.32,1659.35,769.85,9181.38,48380,45304.1,-5649.6,0.0503197
302955,266320,85,230216,198170,86,10055.1,89862.5,6606.09,5875.38,3525.34,750.566,7516.91,26748.3,73607.9,-2327.98,0.0513064
302215,283794,83,127261,118462,80,7753.52,112570,2564.48,3848.72,1449.93,1382.4,2780.74,88020.4,49056.9,-9112.79,0.0532797
321627,290530,84,181050,155108,82,7081.46,82094.4,18090.1,3158.49,3498.59,-251.327,908.565,127520,46461.6,-14014.5,0.0532797
300350,272854,86,171239,147415,83,5281.11,171730,13505.6,2837.67,4423.36,387.772,3577.53,104888,37342.4,-10918.9,0.0542664
169609,155306,84,64582,58878,74,1286.76,15845.1,1391.03,1267.21,7460.53,-57.2707,-270.151,48887.6,7246.25,-4558.48,0.0542664
327918,292289,87,227351,199504,86,6693.1,112187,20483.4,39739.7,1976.81,15791.3,1846.49,133118,71074.9,-13352.3,0.0552531
303117,286153,82,177585,163031,82,8141.69,87762.6,-727.05,3691.61,3989.11,49.4628,2490.39,38229.8,50939.7,-3936.13,0.0552531
323902,300382,85,226226,205745,85,11085.3,192791,22792.1,5377.65,2843.77,3869.4,2257.58,87920.1,73395.8,-8980.41,0.0562397
317372,295481,83,134503,122257,81,7491.4,81369.8,3645.92,2702.5,2349.7,2455,1213.84,22757.9,41792.5,-2372.6,0.0572264
328243,304448,90,168348,153640,82,7150.19,144147,7401.91,16718.7,2025.14,2246.84,2102.18,116482,61051.9,-9859.6,0.0572264
346628,312547,90,214968,192489,84,9107.41,152280,6510.1,8999.26,3086.35,2208.64,2356.17,114708,80427.6,-7011.69,0.058213
284825,271075,80,111508,104441,79,3312.5,53953.6,10676.4,1543.7,3591.2,672.538,265.146,78375.5,19200.4,-8773.94,0.058213
82444,67776,69,56151,43847,70,1073.46,8523.5,-649.594,4251.29,11480.3,790.726,1533.77,71.5927,6796.04,273.523,0.0591997
318652,300349,83,156982,140813,82,6439.27,75924.3,8138.95,3980.41,3505.64,1806.99,1057.19,36256.2,46641.7,-3539.43,0.0601864
293656,270970,85,149586,136260,81,10853.8,110176,555.104,4974.54,3238.92,665.977,2181.37,14565.6,68098.9,-1222.24,0.061173
287756,266157,82,161098,147412,81,7863.79,106562,12553.4,4428.32,1766.09,1587.72,1914.19,72109.9,68178.3,-7145.55,0.061173
320521,294855,84,140035,126057,81,6886.03,70608,8110.44,4088.23,5627.92,802.169,1190.33,34209.9,48592.9,-3464.1,0.0621597
307036,282500,87,157500,142889,83,4717.44,81822.8,4816.48,3037.52,3139.55,619.501,854.051,8631.05,39073.9,-851.902,0.064133
308586,284737,83,198771,176859,84,5496.16,62423.9,8643.87,4391.16,5101,-139.49,1171.26,46120.5,58145.9,-5579.41,0.064133
203319,182060,82,239954,209060,82,3858.62,64433.6,8271.96,1902,1773.63,-549.79,1172.33,32307.8,26257.6,-3206.84,0.0661063
259254,245924,81,118376,111035,78,6482.64,76249.6,8806.96,3859.97,2369.96,160.754,1081.79,13271.3,53219.9,-482.707,0.070053
355754,306832,90,286501,238903,88,5949.13,87532.1,30410.4,3293.54,2940.77,1108.67,1518.03,125416,41309,-14304.3,0.070053
295916,274749,97,145748,136430,80,8417.41,133377,2222.62,4574.74,3677.98,-409.655,2368.14,44479,67150.4,-4675.35,0.0710396
286642,269686,82,159994,145586,81,8691.16,108300,19798.8,4207.17,1599.51,1722.99,2537.51,85480.7,60887.9,-9647.36,0.0710396
286260,266232,81,178940,165936,81,4538.61,66638.9,-640.162,2241.79,4132.19,593.809,2247.06,55117.6,32154.3,-5821.73,0.073013
268945,254460,82,121889,111436,79,6154.85,120026,3630.59,9595.24,916.935,1396.75,2062.37,116106,53992.7,-10564.1,0.0739996
324009,298280,86,153587,134694,84,8716.88,107124,8250.06,4282.23,2433.6,1269.85,1887.83,138147,58985.5,-15585.6,0.075973
313358,288097,85,116595,104032,82,6246.04,76391.3,474.295,3026.07,5059.92,1586.46,2840.31,20187.3,37488.7,-1379.52,0.075973
331556,304809,84,190984,172588,83,4001.97,40176.6,42912.6,2713.59,3437.23,791.116,-84.653,116656,23592.3,-14612.6,0.075973
384816,352230,87,209760,189589,85,7355.64,51124.7,12387.9,3211.23,4357.32,1709.68,1585.79,8203.46,33472.3,-911.2,0.0769596
307439,285742,85,122807,111905,80,8092.64,106738,1827.61,3170.45,3307.77,3363.66,1641.04,81737.9,42984.1,-9448.56,0.0779463
386461,335606,87,291991,243938,89,10895.5,211475,-99.918,7624.33,3486.33,-705.429,4262.27,34390.4,115022,-1128.97,0.0789329
377492,331298,89,332098,289921,88,12935.2,172258,9787.65,15701.3,4618.15,15542.7,3636.52,264148,108748,-28692.4,0.0789329
347518,288985,88,231573,186981,87,11296.7,143161,533.097,5152.31,3461.54,-553.102,1763.96,11128.2,65296.2,723.616,0.0818929
229553,210691,82,183199,162823,81,5669.7,84586.9,13861.3,2813.31,3557.48,37.1933,3250.57,22759.4,41609.8,-1867.87,0.0818929
349940,320993,98,179424,162452,83,8310.8,107082,13700.9,5285.4,3500.2,1157.64,2123.86,121341,65785.8,-14026.1,0.0828796
108360,106400,74,148102,142391,74,767.395,1821.16,-491.702,4745.36,6769.88,836.549,865.088,1514.82,1009.52,-212.753,0.0858396
320698,294058,87,147436,130442,83,7925.79,35995,-548.055,4428.87,4550.31,-447.974,1437.51,34408.7,61142.7,-3942.72,0.0868262
308130,287874,82,145207,130950,82,8047.59,87246.7,3396.85,3595.57,3284.57,-555.521,2112.08,32751.7,50318.6,-3352.63,0.0878129
53353,50596,66,54002,50424,65,630.332,12308.5,629.893,693.708,1406.19,-414.093,629.58,-224.462,2634.11,11.368,0.0907729
262141,248527,79,114690,105552,78,3218.91,48908.9,8879.45,1744.78,2843.33,778.814,659.736,73755.7,18424.5,-8881.76,0.0927462
226360,212895,80,98397,92229,79,3221.81,70174.1,23069.2,2348.61,10197.5,-401.289,1034.05,62405.9,22161.1,-5075.92,0.0927462
328272,302877,85,174703,156905,83,10057.1,106025,170.453,4596.5,2368.45,409.685,2850.6,20349.7,61355.4,-1655.07,0.0937329
310009,286565,82,153209,142137,82,9110.15,65573.9,172.529,4442.35,6662.64,297.666,2075.08,47554.9,56248.8,-5150.06,0.0947195
291053,268102,83,157659,144119,81,4581.5,82254.8,18128.3,2835.35,3751.54,724.584,2599.87,151730,34828.3,-17894.1,0.0966929
275672,258396,83,105357,98368,79,3938.31,70066.9,6452.57,1861.89,3132.64,2355.37,585.899,69055.1,19880.2,-7280.26,0.0976795
