"MCL_r","BCL_r","IgG_r","n"
"1","1","1","1",0.962962962962963
"2","1","1","2",0.407407407407407
"3","1","1","3",0.111111111111111
"4","1","2","1",0.925925925925926
"5","1","2","2",0.518518518518518
"6","1","2","3",0.148148148148148
"7","1","3","1",0.703703703703704
"8","1","3","2",0.333333333333333
"9","1","3","3",0.185185185185185
"10","2","1","1",0.62962962962963
"11","2","1","2",0.777777777777778
"12","2","1","3",0.222222222222222
"13","2","2","1",0.444444444444444
"14","2","2","2",0.814814814814815
"15","2","2","3",0.481481481481481
"16","2","3","1",0.296296296296296
"17","2","3","2",0.740740740740741
"18","2","3","3",0.851851851851852
"19","3","1","1",0.259259259259259
"20","3","1","2",0.62962962962963
"21","3","1","3",0.666666666666667
"22","3","2","1",0.111111111111111
"23","3","2","2",0.555555555555556
"24","3","2","3",0.888888888888889
"25","3","3","1",0.037037037037037
"26","3","3","2",0.37037037037037
"27","3","3","3",1
