"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time"
352209,320197,93,165365,145996,84,10144.3,123159,21313.3,4759.37,1608.16,1624.28,2879.77,75717.8,70797.9,-8198.2,0.0464512
467294,401070,104,336500,284858,92,21305.4,317455,3237.42,9341.68,4390.52,1916.26,4382.8,21848.6,137844,2369.92,0.0464512
360679,330900,83,235877,213768,83,13050.2,183054,24170.9,10756.6,2172.6,4711.08,4152.19,86271.7,103293,-5998.11,0.047461
228614,208551,80,250461,222462,82,4636.49,74111.5,16152.1,3197.99,3334.2,1713.31,3328.98,93920.1,46684.7,-9472.38,0.047461
308153,286721,90,147502,133519,82,7629.85,100377,6193.76,4159.99,3789.88,-845.387,2580.29,54864.5,57415.3,-5648.41,0.0504905
391446,349955,86,228322,199618,86,11579.9,194528,16347.7,10605.5,4009.96,-2065.36,3283.39,74722.3,88988.6,-7992.09,0.0504905
142525,123216,80,623383,535846,87,1026.39,1356.15,55.7557,7840.74,17168.4,2348.87,824.535,222.707,1103.5,33.6097,0.0515003
90173,88067,68,98903,96308,70,2043.96,38730.6,463.516,1099.14,5464.99,1716.85,39.126,960.514,3031.4,1289.35,0.0515003
200396,181838,80,168088,143286,81,2182.87,25492.7,8177.21,4192.46,23168.5,1786.3,2162.31,138777,8085.1,-15249.5,0.0525101
249617,227920,81,148426,135121,81,6100.4,95315.1,7198.96,3619.41,7486.09,-181.816,1972.71,17560.1,42932,321.542,0.0555395
194499,178259,79,82951,76241,77,2187.74,68938.9,5474.18,1650.93,7110.42,2922.17,737.142,43588.4,19193.1,-3688.92,0.0555395
312351,282349,97,129407,115170,97,5702.06,68379.4,1470.65,2889.92,4684.83,-59.356,1625.04,22864.3,36852.3,-2540.93,0.0555395
291456,275693,81,143882,129447,86,8038.8,82637.9,439.951,4247.3,4445.19,-1000.86,1674.02,27728.1,51620.6,-2899.09,0.0555395
236492,215418,81,184696,161983,83,6780.04,94358,45734.3,3566.9,1346.57,732.483,1672.67,66019.9,54246.2,-7800.64,0.0575591
280758,262027,82,136452,122465,80,2956.74,42503.9,20997.2,2678.44,11643.7,-982.166,1476.46,85607.6,19991.1,-8907.59,0.058569
378821,341910,89,251551,220310,87,16970.5,252594,-245.538,6985.89,2222.74,453.552,5280.94,19276.7,101968,774.725,0.058569
312174,283142,89,173771,155959,83,8267.02,105253,10516.4,3367.9,2686.9,3834.95,2586.35,74886.1,52288.5,-8000.08,0.0595788
315995,292901,82,143331,130183,80,8592.72,104304,40772.6,3219.33,2556.81,4547.73,1597.79,44725,57041.8,-5025.22,0.0595788
86386,80098,58,88741,78736,66,2063.87,39707.3,104.174,542.511,3253.99,-533.741,626.136,396.041,3363.12,626.855,0.0595788
304645,279634,82,191857,173769,82,10286.1,107567,-882.885,4756.06,3136.68,4765.8,2195.19,84610.1,65739.9,-9311.29,0.0605886
334149,299484,85,243868,220505,84,10378.3,96627.7,4353.14,4269.06,3621.77,381.981,2891.94,22473.7,59270.2,-1916.25,0.0605886
305683,287416,82,149796,136798,80,8877.82,106330,6225.54,3977.9,1865.39,2149.65,1467.36,114554,58116.1,-12807.1,0.0605886
248029,235178,84,115267,108688,79,4701.79,57686,20400.9,2075.83,1429.66,-1830.16,1922.15,94550.5,29653.6,-10213.6,0.0626082
331926,310231,85,127313,117180,81,8645.33,79054.2,4875.15,3681.84,4134.63,1517.9,1256.99,22468.3,47767.1,-2023.58,0.0626082
460332,409413,99,347943,306661,94,18572,304276,15169.9,21236.1,3519.38,9075.14,5611.48,221589,177062,-22242.4,0.0626082
223876,209543,79,96825,90560,79,2799.59,43408.5,33773,763.423,6237.42,691.01,1803.59,29317,15568.4,-4052.88,0.063618
261853,232759,85,218687,191251,83,7526.05,94242.4,23639.2,4185.18,2476.65,2179.65,2614.8,76819,55572.9,-8785.65,0.0646278
292823,268802,86,124299,112585,81,4140.55,77456.1,5680.75,2403.57,3435.97,36.6109,1257.68,71781.9,22652.2,-7274.54,0.0656376
325359,303550,85,158142,145007,82,9222.17,96005.3,7412.15,4140.85,4857.29,-536.155,2977.36,33950.6,52794.6,-3025.51,0.0666474
267635,251608,81,109180,101422,79,3628.65,53586.6,16512,1979.07,2462.5,-1075.72,1518.08,70679.9,24816.1,-7556.81,0.068667
259221,242714,82,214578,196231,83,8977.44,107018,-1373.2,4259.61,4356.4,1407,3026.28,73044.5,60522.4,-7346.43,0.068667
250274,233493,86,178143,154251,95,6385.47,130645,38057.4,3745.3,3072.36,510.616,2343.63,64285.6,41547.5,-7794.52,0.068667
243423,225466,80,159083,147494,79,8125.43,79512.6,33330.5,3848.44,1689.2,-714.482,6180.63,19536.6,50920.7,-1714.53,0.0696769
227125,209908,80,142982,126378,84,2337.81,40158.5,7980.18,2555.09,12497.5,-1022.32,1461.81,83194.1,19909.3,-9342.03,0.0716965
326870,300417,83,147174,129983,82,10723.8,105412,34347.5,4551.06,4343.36,683.054,1998.96,55324.5,68357.3,-5287.52,0.0727063
252462,227403,85,189884,173977,81,5323.67,98135.6,6550.41,8777.48,3908.95,2713.04,1834.35,115200,28147.9,-10746.3,0.0727063
332580,304205,88,226146,200809,84,7282.42,103162,15300.4,3699.2,3151.11,2527.95,2071.91,166451,51982.8,-17929.1,0.0737161
276306,252715,85,173200,154687,83,4595.82,246747,4108.22,2278.38,12745.5,241.741,2943,188042,25963.3,-20306.1,0.0757357
259917,240127,87,165328,153479,80,7368.41,93953.7,1412.56,3520.27,291.784,2180.36,2174.9,7430.99,45887.8,-937.872,0.0757357
381259,344259,87,242260,212755,86,16031.8,232553,30067.1,18326.6,522.761,5103.75,5235.23,133308,137521,-11927.4,0.0757357
310479,285204,87,139960,130646,82,9255.73,112582,24233.3,4661.44,1736.25,202.419,1296.26,56471.2,62216.2,-5947.01,0.0777553
