"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor    488-A","BIM AF647-Alexa Fluor    647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","SampleID","Time"
277169,251655,87,128963,117299,84,2301.78,87211.8,9440.1,7231.7,2128.83,3856.39,2213.62,111669,21535.9,12395.2,98990.9,0.497136
320540,297130,90,147458,135113,87,2496.75,95523.6,14604.1,6512.4,2802.18,1476.19,1085.29,111453,26287.3,14818.2,78861.5,0.508002
299269,277003,86,122989,112080,83,2737.26,75726.9,12889.5,4882.53,2369.59,5385.03,896.52,116085,17790.3,19145.1,33927.5,0.510719
279631,261201,85,103452,95724,85,2272.71,79365.1,9705.54,4160.79,1862.09,445.453,1436.75,139124,22509.4,8884.12,102195,0.528377
279799,262244,84,132205,122941,83,3054.56,77840.5,13921,4286.51,2791.86,1386.21,431.85,95092.1,16231.2,4321.75,97489.1,0.547393
261118,240606,87,126125,117370,83,1996.5,60046.8,11693,5933.32,486.008,-186.776,2629.06,92753.9,18478.5,11253.3,78303.2,0.550109
306453,282056,87,123114,112565,84,1916.75,71453.2,12413.8,7004.37,1561.78,2360.5,1223.38,116289,18236.3,9734.67,78472.4,0.556901
322881,295731,90,141028,126865,85,2855.07,86168.2,11454.7,5142,2036.09,2098.46,590.39,112889,16299.1,10648.1,82877.5,0.559617
312230,290447,87,149997,138141,85,2874.4,90373,12716.8,4665.63,2203.36,3454.64,448.099,156835,23422.8,14657.9,114954,0.559617
294418,276312,89,109322,101821,83,1773.93,64469.5,8099.29,6077.22,2551.91,1208.67,1378.36,110713,22189.2,12466.1,95493.4,0.560976
322899,301899,89,98115,91690,85,2761.5,77749.1,8015.57,3169.55,3377.29,1898.19,642.1,119123,15058.6,3437.66,80540,0.566409
292159,275235,89,114637,106426,84,2627.42,76842.8,12164.3,6547.26,2395.7,-161.906,1539.7,129361,22660.2,8647.93,138530,0.5732
251076,229423,87,108270,100078,83,1216.22,60876.4,7979.21,2926.56,-664.121,2978.3,1467.53,126433,13195.8,24861.9,91164.9,0.579992
276901,250656,87,138147,125441,86,2181.06,78824.7,7507.31,9673.79,1311.13,1527.86,1472.36,78757.8,17174.4,11103.9,69890.2,0.590858
249357,235801,83,131457,122853,83,955.469,71550.1,17246.3,9460.66,977.612,-442.869,1546.54,104647,10178.7,16299.4,81001.3,0.59765
303896,288782,84,116978,108319,83,2093.5,76235.5,2883.26,5711.36,2196.48,649,1886.61,70027.9,20108.2,14005.2,82404.8,0.616666
605267,523071,105,289166,251229,102,6277.61,160707,18143.6,2723.62,3561.83,7194.95,1273.02,313352,46255.8,26093.7,75115.1,0.616666
310775,281240,87,95656,83455,83,887.014,36478.6,8242.41,3996.44,2394.07,2793.78,-105.626,137211,5162.51,12581.5,87204.4,0.624816
277671,261574,82,112879,102569,83,3199.08,59240.8,14680.4,11889.9,2954.22,4329.83,-75.6524,108192,21329.2,13380.8,103429,0.634324
303501,287729,85,113177,106867,82,1607.8,79025.9,7913.81,3174.29,2211.96,537.025,1091.98,156783,19219.3,18930.6,101713,0.641115
296119,280479,85,83437,77846,81,2236.26,66036.5,6974.37,7550.95,347.991,2331.96,534.76,70688.7,15031.2,9990.32,65552.2,0.649265
304952,285246,85,111339,100906,84,2081.38,79222.5,15214,4419.49,2828.79,3124.6,804.452,158963,26261.4,7134.23,101980,0.666923
332715,307002,89,107787,97659,83,2797.44,74010.1,5298.12,7585.09,1525.58,2081.05,1104.79,77752.7,17682,10465.1,51660.8,0.670998
207341,185458,83,77688,70070,80,1836.97,45221.2,14973.9,6180.05,1379.54,1224.8,3333.41,83013.3,12355.1,12721.8,101908,0.687297
300235,271881,90,172990,158394,85,4745.88,91018.8,15611.1,2676.14,4291.42,9670.82,1113.41,110411,30337.6,23173,89621,0.690014
287402,272232,86,119564,110125,84,3738.29,66268,3400.91,11348.1,3527.13,2423.74,1048.07,71680.2,19560.7,15357.7,71326,0.710388
364103,325193,92,173809,156027,88,4670.07,154115,20681.4,4525.32,2264.53,2468.26,1999.03,266277,40856.6,4970.28,77933.6,0.732121
268919,248516,83,117930,107082,84,3206.54,78822.3,5719.33,2878.5,2413.06,3251.01,868.269,99495.3,14775.8,5473.52,64021.3,0.74842
317321,301792,87,105957,99817,84,2695.92,112074,5034.19,4594.65,3318.31,182.287,330.909,101319,19553.6,14784.6,65917.6,0.778303
311799,293050,85,109094,101620,83,2405.08,135821,5309.95,5514.75,1175.63,4501.49,500.701,236568,31168.3,6874.76,87355.7,0.783736
315731,285423,91,103479,90040,86,3236.48,61917.3,7656.39,3121.01,1925.46,2000.9,936.678,95917.3,22520.7,14711.2,91176.5,0.798677
328641,298965,90,96818,86182,84,1589.44,68447.8,6395.08,9674.21,2169.97,443.823,1173.17,153496,12747,11797.7,100845,0.801394
296752,280205,86,172437,163075,84,3354.52,100025,9753.78,6033.39,2243.11,-713.935,1666.48,109358,24129.3,17447.2,102889,0.813619
264720,238118,86,176995,163952,85,2749.46,64115,9762.36,2719.87,958.764,1242.56,815.291,150276,19144.7,1784.43,115366,0.832635
316771,296516,87,109973,102274,83,3450.86,77910.6,6948.82,7346.33,1240.19,6430.94,-354.861,116959,28341.7,3943.42,55821.6,0.846218
329648,308349,87,84950,77831,84,2368.58,71016.5,6022.59,4066.8,3536.17,5627.97,176.715,121507,16257,25169.3,93746.4,0.878817
261002,245441,83,106603,101532,82,2472.38,79131.1,7537.5,7151.6,2194.45,3311.66,1142.45,125605,21024.6,17564.1,91527.1,0.881533
