"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor    488-A","BIM AF647-Alexa Fluor    647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","SampleID","Time"
366633,330497,89,230117,203845,85,13763.4,192625,28257.6,8309.71,1020.53,2708.62,3214.63,53765.6,106952,-4220.62,61728.2,0.738983
305466,279869,91,171419,153835,82,8987.48,126913,6179.26,15608.5,820.959,12508.7,3098.58,148074,76380.6,-10061,115995,0.777183
340327,305589,88,224133,199103,85,9996.31,158599,17885.6,17392.3,906.266,20587.9,3832.34,164414,95954.2,-14644.6,118176,0.779818
358623,329884,86,187134,172398,83,7240.86,73555.7,15648.2,16205.8,2848.78,17482.3,924.541,115395,75862.5,-9944.76,82536.8,0.79299
392216,349932,86,260054,230634,87,16167.3,258539,15929.1,17210.9,2199.76,13049.9,5027.76,220866,165679,-22204,50770.9,0.829874
366133,323914,87,268937,228457,90,11279.4,187786,28876.6,20586.2,6188.04,3120.32,4797.61,150621,96097.3,-10057.2,114086,0.872026
366513,309288,91,378306,327883,90,12292.5,100211,18689.3,8405.7,5865.53,-355.042,4274.02,179017,118588,-18478.8,86314.7,0.879929
349406,304995,88,334931,288644,89,11593.6,161336,9350.08,31440.5,3576.04,397.98,4817.58,59193.2,101274,-4953.02,106166,0.891785
369164,324523,96,238334,208342,86,13342.9,166640,30975.6,11655.2,3206.31,2891.16,2226.62,105549,96874.9,-9350.96,60332.1,0.897054
356504,327358,85,200696,180277,84,14160.8,141233,14543.5,12894.9,3552.9,14479.4,1846.38,103519,106153,-8244.43,90913.8,0.898371
315625,289022,84,210220,190431,84,5536.43,68716.3,20845.9,17410.6,2602.79,3594.11,1249.12,129744,63399.3,-12704.9,59645,0.949744
307192,275788,84,227517,201263,84,6855.29,111328,23076.5,18437.6,3875.78,13018.4,2978.05,140968,52796.8,-10938.9,92522.6,0.953696
402224,359272,87,292042,256183,87,12512.9,199769,24133.2,19725.5,5274.62,9085.46,3454.06,71854.7,99038.9,-7629.14,77133.4,0.98531
351573,312389,92,251921,219770,87,6744.02,82909.8,4699.76,16662,4898.64,16375.3,1485.67,167093,80570.2,-17881.7,65772.2,0.991897
