"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor    488-A","BIM AF647-Alexa Fluor    647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","SampleID","Time"
397039,342770,93,241565,207934,87,10306.5,200758,20154.1,94649.7,2461.38,-1046,5302.32,189813,138411,-19084.5,77861.3,4.28743
353754,297188,90,432304,353592,91,23246.5,353823,10845,97903.7,2361.84,-226.208,8353.97,341694,191090,-37672.4,71395.7,4.45957
356384,321657,86,238931,211155,86,12180.1,231999,28059,88343.9,1573.75,21967.7,4273.04,191777,113484,-17952.7,69588.8,4.52629
450786,389970,96,363432,309162,91,22531,318904,29921.7,73702.5,2504.8,317.752,7517.4,174455,151701,-17706.7,95273.4,4.68242
363493,328912,87,302214,265211,87,13272.5,206768,26505.3,53692,2840.15,915.385,5210.76,182918,117535,-18828.2,89589.3,4.82119
366823,331372,87,259753,233749,85,16992.1,295735,11211.6,113376,2748.06,2307.54,5140.29,197221,113926,-20796.9,103453,4.8679
415776,367857,88,276531,241379,88,16910.4,243123,23593.7,71986.9,2076.75,9361.88,3176.89,144388,100698,-14412,116240,4.87457
274823,248829,90,329978,285854,88,15401.8,300267,33306,82431,209.932,-1428.72,10712.7,213556,129269,-23392.9,79332.6,5.06405
323681,297177,83,184026,165866,82,11561,211150,28633.2,106100,-1577.74,7339.99,3144.23,123056,93920.8,-11650.9,103984,5.15613
342510,306459,99,141204,121235,99,7621.48,63314.1,24303.2,8420.19,3866.07,1306.65,2088.95,21078.3,33507.2,-2107.34,123910,5.15613
354982,318828,85,241026,206923,86,12766.9,270886,46009.2,107458,2079.3,-2658.43,6407.48,207544,159977,-20302.2,79185.5,5.19082
270843,245647,83,157441,143235,82,9321.39,173558,7297.69,102251,1150.77,18318.5,3096.15,298154,88488.6,-30015.7,106511,5.43902
362050,329829,87,194393,174988,84,12824.4,207914,8360.87,41292.4,1075.66,8448.08,3128.46,182587,114461,-18957.8,76253.6,5.53376
323377,293396,86,210818,184415,83,11451,245811,8831.72,89096.5,-967.599,-129.63,4275.49,485396,115608,-52379.1,138206,5.54844
403580,320606,98,242768,188591,93,5919.98,165175,28745.1,127353,5048.56,-519.831,9778.8,321283,80746.9,-36060,100554,5.55645
311351,270890,86,268296,224006,87,2774.29,195272,12238.8,68719.1,3109.8,524.273,2929.73,311606,8159.2,-33311.6,68780.6,5.64319
321432,292299,85,231409,205557,85,12356.7,243291,17790,81810.8,839.486,44854.7,2607.04,445239,106360,-46091.3,70357.5,5.73926
229056,192775,84,307202,255027,85,12177.2,218425,27578.4,62250.8,1630.74,1915.66,4438.21,235281,66492.4,-24807.4,21845.3,5.83
357309,312606,87,309206,267121,87,24543,326329,26401.3,97946.3,-1298.44,86.1615,7335.91,198529,209683,-17109,83396.1,5.83
307792,284281,84,194453,177972,82,8378.89,208336,4372.75,79052.5,104.028,17524,2827.85,249200,77551.6,-25782.5,74492.5,5.85135
299432,280628,84,173750,157789,80,8822.88,181965,6068.72,28590,1507.76,11718.6,2664,273190,84339.7,-26601.8,84458.6,6.28236
286168,263338,83,183466,163833,82,9086.87,175061,13797.8,69111.3,228.416,20489.9,3328.2,344264,80818.5,-38227.4,99575.7,6.2877
351403,317396,87,292689,260325,86,13151.7,219632,15735.7,68632.6,-1033.12,5456.72,6566.89,184113,117554,-19959.8,62116.1,6.34508
304054,268000,85,263214,222902,87,14319.3,224898,9453.87,57464.5,967.666,6060.24,4461.47,167413,116370,-17500.7,81774.2,6.42248
340811,312132,85,200460,181642,83,11997.2,217481,32894.9,71869,2124.84,6729.19,2812.92,257427,112938,-26338.3,111046,6.46518
313644,283215,85,184752,169892,83,6698.86,297580,18316,114421,1833.92,9235.2,1948.02,367282,86279.6,-39395,73888.6,6.59995
394593,342040,87,337640,279293,90,21387,392759,16736,162936,3870.23,4357.45,5234.9,225472,165828,-22559.9,57346.4,6.73072
310773,271034,85,350229,296432,88,11590.9,245902,36410.6,73869.5,410.084,274.215,6748.92,255456,116700,-27559.7,54581.1,6.88952
296200,263664,88,297985,256357,91,17323.3,212931,36895.6,96242.8,1135.94,-2317.43,10919.3,151887,119436,-16490.1,91073.8,6.90953
275172,251129,83,200848,181643,82,11027.1,153229,16094.2,62817.1,663.514,19019.3,3508.63,278218,72267.4,-30338,83317,6.96157
328306,285076,97,262841,222667,88,16033.1,179648,20240.7,85994.1,2702.81,-598.876,11393.1,137168,86399.1,-12120.5,115761,6.98026
310675,259615,91,322740,265070,89,15076.7,251023,59917.9,74010.3,2605.56,2182.41,7379.42,169303,105552,-18647.7,87926.7,7.21111
357749,328280,85,219040,198724,85,16211.2,242931,28895.5,106320,-49.7476,6469.6,3747.19,118963,130270,-10278.2,66144.5,7.27382
266040,232125,86,260999,226448,84,10740.1,228608,17889.8,75795,318.659,28677.3,2222.79,411141,105871,-43215.4,81820.9,7.30051
340571,306407,87,239516,210659,85,13035.7,250538,12740.3,728432,-2386.05,-283.881,4173.9,236360,124908,-24698,82332.3,7.64078
