"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor    488-A","BIM AF647-Alexa Fluor    647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","SampleID","Time"
326335,305441,87,161561,145517,86,2936.84,87808.4,5646,10774.1,1762.34,1419.65,901.381,361217,23105.1,7466.88,133653,0.514204
239967,214851,87,214687,190110,85,1944.46,85484.5,10050.4,3122.61,1930.17,2603.04,1518.17,406982,32648.4,4203.62,67521.4,0.51821
329571,306621,86,200947,181996,87,1239.15,120020,5799.04,3085.46,2165.45,5639.43,1395.71,588283,24333.1,7278.29,61935.3,0.524888
372878,336069,95,249153,211391,97,3094.36,96066.9,11815.3,4452.56,2906.77,379.842,922.239,468163,37086.9,1430.82,64315.4,0.562285
364689,335037,93,210699,185745,89,1883.38,139423,5782.95,5374.21,2319.89,5452.41,-111.6,707200,39579.4,3301.66,100631,0.567627
205280,170575,87,208862,181300,86,2146.51,103747,8120.97,8903.92,2278.92,-2738.74,1100.32,483321,36364.9,4455.11,116540,0.578312
372328,342401,91,177754,158113,88,1100.96,114279,16989.7,4970.37,3165.47,2702.75,1161.36,598763,31940.8,793.612,83885.9,0.587661
306976,265869,91,218253,192771,88,2164.66,121301,10790.4,4635.05,4306.94,3098.66,787.821,443734,32263.2,429.633,116872,0.590332
350509,321072,88,243738,223410,87,3030.69,122402,17897.8,10709.3,2434.01,1047.57,867.757,518615,51233,216.434,98947.7,0.602353
217686,196899,85,203563,180982,85,2132.06,107421,11814.6,10698.3,2939.12,2387.77,1614.55,378506,28852.2,5422.99,54658.9,0.614373
336597,302457,93,213693,192225,88,1954.99,95847.2,14418.7,2841.51,1748.12,1901.7,1355.24,513621,44525.7,2526.52,111375,0.647763
345476,303073,96,140969,120702,88,509.054,96929.1,16984.5,6202.26,1352.05,3791.59,270.747,652477,36764,2396.96,122227,0.698515
429790,391484,93,211923,191629,91,4935.08,165434,9126.59,8517.63,3519.69,2546.16,1566.1,517372,51584.7,-275.677,64971.5,0.762624
313613,285276,88,206674,186144,88,4452.21,127970,5028.98,10269.8,2364.32,4040.04,733.103,442443,43311.3,3117.98,81877.6,0.769302
393838,362174,89,148557,133512,88,2186.69,105963,22069.4,4621.22,3267.13,4088.4,39.953,659087,31249.3,3732.94,95087.2,0.792007
320417,300179,87,138469,127273,84,3938.15,85790,4241.94,3962.34,1994.77,1468.87,30.7213,203971,25077.3,6911.44,81179,0.800021
355650,324708,89,201792,182179,88,1700.17,105883,10910.6,5786.15,1941.64,9472.94,845.549,479536,26007.4,1731.22,94690.8,0.816048
343456,311793,90,149537,134354,87,1973.37,170020,5802.54,3370.56,2536.92,15004.9,1794.26,474095,35772.4,2973.72,95168.2,0.818719
350455,321380,94,137130,120559,88,729.924,68351,11194.8,3261.11,798.563,8311.23,507.903,497330,25562.1,3917.22,85738.1,0.83341
322684,280056,102,227274,197408,89,3667.1,119349,12506.2,7747.22,2649.47,3963.92,1752.17,544557,35424.2,2867.89,44631.3,0.858787
