"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time","SampleID"
290529,262620,87,235274,209631,86,2747.84,1010.72,7003.45,33607.7,2617.45,2550.49,512.55,335.457,7035.53,1386.6,0.00100781,1
330135,300749,91,224377,207116,86,4066.28,-448.768,9034.93,13967.6,2587.07,203.764,956.859,-137.738,16231.6,-482.003,0.00302343,1
308225,283592,91,228811,206157,85,2381.43,-1077.25,9233.67,38712.8,2523.93,6511.13,1083.46,1097.72,13783.9,126.591,0.00907029,1
226967,201329,84,373144,336714,87,2071.71,-1130.53,9088.7,26632,1380.3,1290.4,1182.01,69.5008,26775.1,447.848,0.0151172,1
329868,296638,89,366972,328216,92,6947.33,-1347.11,20989.2,13554.1,2600.12,737.995,350.107,-625.063,25220,-518.181,0.0181406,1
332787,306689,87,255829,233295,86,2561.43,429.962,12345.7,52057.7,1379.95,10366.4,1352.74,-330.124,27331.1,1063.34,0.021164,1
304323,277336,86,223945,201412,87,2259.68,-1379.6,11481.2,46149.4,1486.57,8748.51,1524.89,542.646,21650.6,530.714,0.0262031,1
345083,321299,90,262030,240679,86,27210,-840.771,18043.7,29152.8,3849.2,6986.5,1676.15,97.7688,15124.1,-132.556,0.037289,1
265088,248152,93,168070,155910,84,14531.9,-952.804,5210.76,34067.3,-298.779,6805.31,673.275,-1036.51,19431.8,3840.75,0.0382968,1
253590,240422,84,186633,174163,82,1654.17,-450.874,2769.08,28191,1177.01,11560.1,2296.02,944.68,22061.1,1577.53,0.0413202,1
319806,294995,87,270913,244990,85,5324.68,147.209,13272.6,47887.5,1902.61,1862.51,1895.57,126.455,15281.8,225.099,0.042328,1
341532,304552,92,328345,289187,92,3345.91,-35.8146,7263.37,47762.7,1261.23,4108.22,1872.51,813.888,28004.9,615.82,0.0453515,1
264030,241450,97,202826,187368,84,2297.63,-251.51,6114.16,31862.8,3594.97,3773.29,640.263,654.286,4054.41,5499.34,0.0463593,1
347695,296299,93,440006,369080,94,4348.22,-1688.04,20757.5,17489,1551.65,2368.99,3432.23,663.518,33954.4,-52.2339,0.0493827,1
263409,233350,87,313691,279728,88,2353.29,156.258,16047.3,25918.3,2189.05,2756.13,1598.45,913.525,20685.1,-31.4334,0.0755858,1
313359,282393,90,266528,241500,88,2925.87,-484.367,8117.39,58125.9,211.987,9440.34,875.887,-127.271,20384.3,740.262,0.0765936,1
348880,308422,90,285551,241008,91,2857.54,243.408,6889.3,21066.8,1478.91,827.175,2058.23,-596.086,29829.9,3782.29,0.0886873,1
308209,275900,92,309973,275461,89,3473.45,-1662.32,18498,56244.4,3138.03,386.112,1626.03,279.528,21312.5,706.866,0.0947342,1
263701,243195,85,254962,232601,86,1802.36,-1268.63,6831.85,23936.4,2648.66,12073.7,481.224,81.2468,18231.7,2122.48,0.0967498,1
271393,238092,87,326143,279122,90,2645.68,-1499.92,27906.4,20227.6,1753.09,1174.5,6962.6,2062.13,26383.3,-733.872,0.101789,1
323548,289535,90,182958,156055,87,17617.7,-1449.3,6304.7,16618.5,1326.46,3565.86,917.448,-1090.06,22245.9,2971.45,0.101789,1
221340,191170,84,368512,309342,89,2181.83,6742.54,11403.4,43488.7,2023.76,7387.87,1516.89,1331.89,1330.39,1483.15,0.107836,1
379914,332588,93,386697,334813,94,3998.18,-938.796,34256.8,20476.7,5804.79,2198.9,1416,1805.32,29671.3,888.838,0.113883,1
318806,294469,86,257526,235195,88,2543.99,-401.274,8353.57,49428.8,4589.1,679.972,1145.13,-240.329,24990.8,1568.07,0.118922,1
251441,221438,87,423861,377815,98,2734.6,-828.225,15071.8,25866.5,824.096,3700.14,501.527,1674.81,28585.9,1421.79,0.125976,1
