"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time","SampleID"
310260,278133,82,228876,201828,83,2339.35,472.239,6357.48,24061.6,3260.91,6587.69,1578.19,351.56,14159.2,507.206,2.00128,1
348887,304747,100,211919,178478,100,2835.19,1604.95,22521.2,61985.8,2805.18,26677.7,1536.69,75.6359,27099.9,6352.94,2.19197,1
341402,312174,90,222100,198187,86,3799,128.508,10212.7,51439.4,3058,1969.98,1275.55,41.698,33082.9,133.034,2.24759,1
360862,318292,87,317489,279321,87,3953.77,17.6957,21994.7,96114,2510.27,3545.48,5756.79,1206.58,47294.5,-24.2335,2.34492,1
345222,306541,88,230030,197668,86,5429.56,1080.96,33913.9,126354,3367.59,2545.78,2168.03,429.705,27317.1,2118.75,2.3916,1
280499,261273,83,170686,156420,82,4527.64,294.318,5630.67,59254.8,3137.52,-167.049,1735.8,511.733,15334.9,2643.34,2.45814,1
314483,287207,83,194020,176697,84,4151.56,2373.09,18695.4,46634.2,3997.16,12559.2,1947.4,-225.311,15868.9,2499.06,2.58627,1
311375,278926,88,228880,204985,84,3001.35,2061.58,25890.8,28646.8,5380.36,14993.4,2547.4,-50.4241,31474.1,1567.51,2.59024,1
289506,269356,81,179694,162585,81,2805.49,1222.32,5573.41,72189.1,1516.66,10389.6,1382.64,110.54,20243.3,389.074,2.72531,1
414611,352506,100,367066,307454,92,18167.5,618.481,19294.1,64913,4727.37,2677.58,2589.83,463.579,43535.8,-300.499,2.86039,1
356652,317436,87,271565,235021,87,4102.45,1975.37,32362.9,74455.9,4408.5,905.186,2035.59,-126.43,33165.4,-541.548,2.8872,1
360546,285064,92,281999,211746,92,4400.07,1082.23,30209.2,55295.5,3696.58,3854.75,5533.38,1325.35,53168.4,-65.8946,3.02426,1
333026,295477,99,295551,258297,85,3736.66,2655.41,80501.3,88365,3681.58,6140.05,5041.35,191.454,40145.1,326.644,3.06101,1
291725,267238,82,211219,190612,83,3343.76,921.957,12036.2,110616,2404.01,29205.6,2758.44,206.989,17116,4588.05,3.11564,1
311781,275551,86,299607,260507,86,3768.92,2153.99,7031.32,62356.9,2376.22,1115.62,3590.16,1269.04,27497,380.278,3.14245,1
272057,252042,84,131320,118336,80,3262.12,2248.62,5576.74,22814.8,4058.8,5282.32,582.662,226.879,14082.3,5025.65,3.20006,1
305260,276108,85,272835,237119,85,4584.87,2769.83,13006.5,85874.5,3957.35,1373.59,5137.02,981.198,39314.3,-143.506,3.2229,1
409174,374023,86,249988,224320,86,3611.49,1365.84,6631.71,60662.5,5644.46,-45.5874,1839.87,-309.184,17483.8,731.862,3.22588,1
423963,372358,93,259232,221862,88,4015.85,423.572,37417.3,94956,3268.41,5608.61,833.521,483.4,38524.3,215.011,3.30831,1
420107,366553,89,290189,231487,89,4932.01,379.443,17139.6,70300.5,6133.27,5303.3,2384.52,668.221,29877,218.371,3.30831,1
387567,332344,94,371572,306048,90,6165.08,2025.74,22085.8,109098,4809.32,154.687,4122.52,-57.151,63858.3,-132.951,3.32619,1
291551,267958,82,203347,179892,83,3810.86,-297.274,13464.8,115597,5008.22,45462.4,1218.4,29.1182,22747.3,2823.93,3.35599,1
322943,289777,86,254981,225600,86,4592.85,1718.79,53407.5,85066.1,4281.52,6273.16,2670.88,10.9981,32797.5,245.471,3.40465,1
315305,293421,83,197361,176406,87,3045.7,1193.76,12980.2,59881.8,4620.16,14397.9,1923.12,375.125,24600.2,5175.7,3.40565,1
343618,315367,87,202482,181014,85,2940.39,808.798,6640.27,77148.8,4234.92,33160.2,2306.54,109.007,12634.5,4139.3,3.49801,1
340714,303669,91,290970,256062,86,3709.2,1401.12,32862.3,71451.3,2591.33,10693.8,1458.8,-231.74,34072.9,1989.14,3.51192,1
326918,291157,86,264353,225695,88,6440.59,-35.2725,8287.55,60287.4,4272.39,50113,1921.29,719.848,23412.7,5718.27,3.52781,1
300012,269696,83,254401,223962,84,3159.38,491.203,4114.48,52114.6,2487.35,11169.3,1583.21,-816.588,28272.7,1336.92,3.56654,1
266084,249148,82,198574,181169,80,2425.08,1424.42,7223.2,61783.8,1293.48,27412.7,1278.1,403.563,13121.2,4436.61,3.57052,1
327038,298574,84,198677,176531,85,5287.7,1580.11,12060,53788.4,1366.38,18785.6,1264.58,237.743,15600.4,1216.93,3.57648,1
375030,338461,87,187846,168036,85,4113.16,1593.54,46217.4,46794.5,5334.4,419.478,1837.88,50.6533,32116.5,-1575.16,3.646,1
327559,291802,84,235387,203523,85,3898.91,1594.62,29883.3,138190,3435.61,1404.19,4644.5,-401.886,35912.6,785.306,3.66686,1
395859,343235,87,339378,284969,90,5490.13,3357.76,43379.2,42272.3,6171.75,1654.04,4545.37,483.208,52367.1,-417.7,3.67877,1
409767,367115,89,256454,227978,86,9614.86,642.362,19733.6,49263.7,4707.83,966.402,1798.51,1897.6,25538.5,-1010.88,3.69169,1
414641,356620,90,378439,322998,90,7972.93,3287.73,49444.4,104937,3881.1,7834.55,6024.13,308.377,79416.6,7259.03,3.74532,1
355553,323644,86,262293,233882,86,3047.84,-218.26,5411.77,57568.2,3157.62,3770.21,2240.51,-277.485,35535.3,674.868,3.79001,1
296267,275850,82,202672,185841,84,2720.12,759.196,11554.7,63892.4,3053.47,13472.5,1070.12,-503.979,19152.8,3428.64,3.79398,1
330500,297959,88,227322,202165,84,3727.26,3149.53,31359.4,80437.4,3003.34,20008.3,1831.9,1038.88,22844.4,199.072,3.89231,1
297318,265657,87,252657,226735,83,5764.06,685.896,31593.6,56311.8,1931.93,2643.44,1706.82,-536.265,48634.5,-1112.44,3.94594,1
360072,310522,97,334384,282512,89,4253.51,1401.5,33493,86520.9,6115.68,8427.74,5791.24,-395.386,48152.1,101.733,3.97971,1
296076,258072,86,280349,244695,85,3055.63,1793.45,54152.4,92643,-861.957,1263.85,5244.76,-279.438,38957.1,-233.639,3.99262,1
328776,294969,88,212272,189204,86,3978.64,1021.78,28742.5,73029.3,2335.71,2607.42,3123.43,808.673,23509.4,-528.494,4.00156,1
368853,324548,87,348466,302226,88,6780.95,1439.73,30576.1,74686.6,3251.84,6948.79,1734.81,-352.346,41760.5,-222.98,4.09194,1
294499,271138,81,213107,193233,82,2840.43,-7.30522,7903.88,41637.5,2764.45,22767.4,663.036,-214.883,22828.2,4762.74,4.10485,1
390367,351930,89,225749,203009,86,4385.28,-313.187,45474.8,64729,5524.09,3717.36,1671.81,899.989,21421,622.955,4.26972,1
330229,290737,88,269322,231834,87,4123.61,2632.76,28907.4,90116.2,2574.45,3567.28,10770.3,-5.24176,44741.9,898.607,4.27866,1
339405,303383,86,246241,220311,84,8450.67,-205.78,16569.5,55809.5,2357.17,4040.26,2688.32,-222.744,30099.3,461.776,4.40877,1
