"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time","SampleID"
376691,336574,89,116295,102267,87,1835.29,-1665.14,8198.64,4190.49,1729.42,2105.33,660.763,774.532,12894.3,3753.37,0.00493151,1
237307,202133,97,293152,252259,89,1830.87,-418.216,14182.2,12001.5,2145.11,42536.2,3065.55,687.851,22009.4,6542.18,0.00887671,1
264444,231636,91,218116,193222,87,1583.43,-184.931,8748.61,2985.05,3362.68,2508.59,659.853,716.419,6185.16,4801.52,0.00986301,1
325368,302164,87,127834,117692,85,1526.57,252.854,8139.62,4306.13,1457.08,1946.02,297.193,76.8765,6827.49,7020.13,0.0167671,1
375974,336808,92,256904,223393,89,2840.55,-2479.22,19962.8,11872.4,1197.17,8276.67,1699.89,1625.58,20191,2632.58,0.0226849,1
273026,239924,87,251473,224284,89,1607.97,-222.921,7053.5,15081.9,2796.4,2245.66,1947.8,1356.46,21786.1,2420.43,0.0335343,1
368162,330999,93,174463,157234,89,1691.68,76.575,15007.8,3790.48,2511.93,3634.36,44.5166,242.333,8909.22,399.223,0.0404384,1
380331,349268,88,192547,173757,87,2746.05,-1334.51,11915.8,13211.7,2039.78,2264.29,249.919,2076.25,13553.3,2425.71,0.0611507,1
366735,326656,92,253403,225469,92,1870.32,-1154.22,8237.29,6810.5,2570.73,8660.17,1686.61,629.865,12157.9,3592.17,0.0631233,1
351150,320880,89,115805,104626,85,1371.7,-1618.23,7878.33,3481.86,2688.93,1236.35,1328.12,1620.7,10809.2,4869.23,0.0759452,1
356183,316692,94,112073,97568,87,1891.98,-2117.98,10111.9,3546.98,540.136,3004.81,561.964,-118.787,11943.4,4532.37,0.111452,1
306531,272746,90,175789,157787,88,2329.88,-269.544,9603.82,5760.74,751.769,4078,843.383,25.977,14472,5277.96,0.116384,1
337454,308692,92,123273,110581,87,1807.22,-1027.06,5139.92,7583.63,1792.48,781.511,302.73,6.73413,8481.31,4188.76,0.135123,1
327602,309863,88,118495,110462,84,1651.81,392.762,7199.19,5174.73,941.374,3622.11,-128.381,1063.31,4818.21,4540.23,0.200219,1
436217,384905,93,250068,216702,94,3337.88,-789.717,28591.8,25153.9,3727.84,5436.6,1738.86,707.664,25194.8,976.77,0.214027,1
393665,336551,98,367235,316633,96,4026.01,-1661.75,13807.1,14602.5,2980.13,12460.4,1189.7,1119.16,17223.8,401.264,0.264329,1
282714,260445,87,200315,177871,85,3148.86,-1598.99,10508.8,11822.8,1326.43,9491.27,863.361,89.9247,10296.2,3764.09,0.288986,1
224333,202022,87,190830,171841,86,1246.18,-341.43,5248.75,4421.81,716.277,3194.28,2695.8,786.59,10249.8,3413.34,0.304767,1
301858,277874,88,266776,246916,88,1084.15,479.328,4625.72,4961.51,1551.89,1419.43,654.06,808.726,6485.18,9819.21,0.311671,1
235613,211719,86,167157,152674,84,725.498,321.03,6364.18,3898.39,604.311,5564.55,1581.34,619.556,10829.8,5650.24,0.323507,1
341443,315821,87,151850,136666,87,4135.85,-1329.95,12305.9,3238.1,1715.41,241.49,1058.88,1506.95,7945.97,244.859,0.331397,1
277217,242207,87,246036,207785,89,2515.65,-2140.79,19962.5,3454.74,3609.87,4433.33,1159.69,1263.07,15095.5,2359.21,0.38663,1
340147,324370,84,173595,163954,85,2307.42,212.851,7138.67,7742.73,3697.89,1509.17,603.978,1154.85,7644.27,4197.46,0.38663,1
319794,296760,82,277861,245792,88,3546.33,-842.991,8498.82,9324.74,3336.12,6695.08,678.67,1405.83,11405.7,2811.07,0.406356,1
383608,338571,92,225480,196660,92,2650.23,-2334.17,17411.6,6948.1,1892.48,4560.95,384.024,600.222,15244.9,1188.4,0.407342,1
