"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time"
368443,321994,99,269192,233488,96,2266.72,352.629,8564.07,17821.6,3258.08,20190.9,-440.464,643.332,2804.29,4890.85,5.83728
409110,343781,91,380672,328757,93,3353.12,406.946,6359.22,63307.2,6958.4,4014.25,2531.06,1092.9,14544.2,247.235,6.14607
447354,375613,102,377397,332461,92,2918.09,491.534,4233.45,10912.6,6661.37,1205.8,1502.71,1557.64,2522.3,4902.13,6.26461
451891,393919,90,284084,251340,91,9070.12,329.589,4568.16,24179.2,7102.82,1786.94,2259.56,-72.394,15254.3,3645.93,6.63119
395841,325268,97,320233,262527,92,2559.49,593.234,8438.7,71303.5,6461.16,2879.25,1953.67,1032.31,17683.6,8458.02,6.72781
410914,335568,93,302602,244156,94,4304.37,-26.5386,5350.75,49375.2,5979.19,3520.65,1957.26,1410.87,1434.71,1240.4,6.74773
389397,334952,96,297053,261130,92,5015.5,129.852,3955.05,30859.8,6386.79,1188.22,2192.16,1459.23,2507.17,796.585,6.86328
376973,332376,95,304020,277825,89,-2992.48,-39.4853,3283.44,40247.1,5884.3,6066.15,1558.26,775.599,8057.19,847.965,6.90811
316787,281070,92,243383,214810,88,1932.83,111.651,5633.92,28397.8,5561.17,7839.92,2201.01,495.468,5470.28,2748,7.06749
392772,307459,99,398624,309791,97,2830.03,228.266,3268.27,55677.8,4361.67,2417.55,919.003,340.383,3344.37,532.505,7.17407
399349,342898,94,244162,216162,89,5417.4,840.491,4687.09,27068.6,5066.12,3168.42,1399.51,705.066,3955.45,1883.52,7.18105
388552,351142,86,218311,202365,85,3611.71,401.175,3514.53,59268.1,6208.23,7945.47,1812.07,1086.75,8078.71,1643.29,7.22587
370182,311628,92,289950,247485,90,2384.02,593.063,5167.51,96166.3,7332.67,4667.21,2296.38,913.182,24333.5,1226.21,7.29958
486844,404607,98,299850,251563,92,10936.1,386.776,3591.55,52076.6,6376.18,49880.6,59.8787,1691.1,14453.2,573.488,7.42609
367224,318935,92,203079,176461,88,4740.35,171.467,4869.87,35598.4,4338.91,18594.7,1805.24,-129.115,10484.6,2036.11,7.45199
424325,365827,96,312932,273732,93,3731.6,403.775,14404.1,28646.5,5975.17,1678.53,1236.28,560.718,4046.55,264.261,7.5536
392941,336176,91,249187,221244,88,2134.75,34.542,4071.4,16222.1,5594.47,1689.5,1238.31,807.084,6328.69,6722.75,7.66815
417389,367922,91,250456,223088,95,4740.69,535.54,3462.71,61950.4,7487.8,1561.46,1038.65,1636.7,11881.5,2599.61,7.71596
397884,326580,90,405955,338855,94,6822.45,643.044,4778.25,55708.6,6618.62,3186.76,755.078,1485.26,1926.28,504.389,7.81657
387033,327468,93,321689,267266,90,2146.85,44.9632,3454.79,84772.8,5472.35,781.745,2199.74,1265.32,18572.1,1141.48,7.93013
388554,318218,94,338388,282439,93,4085.08,468.287,10887,68517.7,7132.77,1114.31,3986.09,452.654,19852.9,1874.72,8.07058
469359,370477,103,391475,315216,96,6625.31,789.524,5103.48,49688.2,8571.38,1378.82,1845.65,922.38,20511,463.739,8.08353
520445,420788,111,404585,327304,97,5352.68,1057.78,25733.9,69005.7,9298.11,3717.09,1400.27,1236.83,12700,627.674,8.22697
415976,354673,94,285136,246412,90,3788.35,-250.082,3907.02,73360.8,4612.5,2049.13,1039.39,1571.2,4837.54,2941.3,8.28475
264291,234815,85,317683,290514,86,2009.24,320.609,5577.36,12295.3,3033.45,454.766,2028.6,1221.21,12485.6,4229.64,8.48497
560218,389652,104,334241,259841,99,4069.56,268.856,10227.9,14630.2,4306.7,14680.7,1754.76,1265.3,5342.34,2700.9,8.5039
391922,332433,95,374477,324826,95,4320.02,-173.301,4445.85,39533.7,5635.05,982.105,1426.69,735.467,14470.5,2895.76,8.56067
432934,376120,96,255344,225627,91,2554.7,226.181,4840.85,39965.2,5594.81,4809.79,1736.51,808.937,9633.65,704.747,8.66527
369477,317150,92,237020,204684,89,2905.85,477.24,6724.79,51480.4,5984.67,1292.5,1683.48,840.735,18496.6,5341.37,8.76588
388925,332842,95,305083,271542,89,2679.75,-143.353,4383.02,44853.6,6446.47,1945.71,1434.66,679.294,19289.3,5718.52,8.90135
419779,324582,107,447077,356144,96,3134.09,2660.82,18009.9,91317.2,7093.87,3163.17,3327.43,897.495,19939.8,4040.43,9.02686
338161,271711,95,400468,336766,93,3215.21,762.385,9399.34,45590.1,7198,1306.95,2219.31,667.087,6055.64,5368.08,9.06073
487761,405636,109,305478,257169,95,9066.75,442.467,3604.16,19026.2,7659.87,1817.78,1473.82,997.998,8509.33,324.49,9.10456
408305,354045,91,295904,252877,91,3565.81,166.262,3421.17,32374.5,5390.18,2358.21,1885.06,326.538,12310.6,2485.98,9.16831
360351,313019,90,234272,200444,88,2675.09,306.928,7607.62,25916.5,4646.02,3148.6,2894.28,725.089,11203.1,6051.4,9.34064
370891,321030,92,251817,226283,88,2138.27,-98.6574,4033.19,44588.4,4017.88,459.75,2139.59,80.8168,11644.9,2990.15,9.46216
394897,337897,93,266764,237796,89,2100.64,316.037,6397.29,28040.6,3533.32,1837.78,2038.4,1475.17,12925.9,504.886,9.66737
418984,358767,92,277241,240630,91,4347.12,570.363,7468.33,34679.3,4856.14,1998.89,1537.6,321.612,3375.39,4778.68,9.8118
322553,273236,89,262150,227100,87,3377.65,20.16,4260.9,15056.7,15313,12068.8,1027,2220.67,12957,3981.56,10.0559
477686,384895,103,379508,310757,96,12895.6,273.131,3461.81,61718,6157.35,2676.05,814.128,2320.46,4962.3,24.1471,10.1067
398118,341285,94,366416,320856,94,4033.92,340.108,3188.12,48702.9,6400.67,2999.84,1796.76,916.078,13877.4,388.683,10.2053
371589,321457,94,224956,192215,88,1119.42,311.469,3831.5,62087.4,3121.81,34893.4,1382.11,-95.8646,11144.3,2967.09,10.2929
429974,369020,94,230988,201294,92,2102.92,415.176,4765.44,47639.4,4150.42,6701.71,700.062,1876.63,2628.55,480.585,10.4961
414379,362170,92,315834,283038,92,11164.2,438.072,5955.94,16276.6,5704.86,2814.74,933.151,1613.02,2954.16,3643.04,10.5459
401607,341280,96,305907,261780,91,4855.11,307.95,7323.63,72745.1,6011.72,2441.69,2518.11,-120.72,17307.5,656.726,10.5878
434830,368948,94,421777,364649,93,2641.78,177.89,6553.62,59041.6,6997.13,3571.61,2615.31,1899.53,14067.3,8615.71,10.7053
418623,360702,92,310747,269651,91,4706.28,523,6691.11,68299.7,5333.06,2174.98,1970.12,1029.78,15102.2,7980.72,10.782
668872,481901,113,423085,306884,109,3834.53,381.134,7758.83,25946.5,8647.97,1808.34,1904.96,2467.78,16102.3,1604.66,11.0261
276203,236150,87,191492,157135,86,7568.73,675.96,7752.33,34998.1,352.01,1822.75,710.057,73.6332,1795.45,970.448,11.0291
467772,381192,96,449821,377648,97,7302.53,362.55,3876.03,47585.9,7030.82,2163.31,1252.16,855.854,15652.4,1196.35,11.047
403282,348889,99,260688,229617,90,1800.67,711.167,4737.82,14566.1,5411.14,1169.75,2069.89,1317.04,16304.1,7076.29,11.057
435230,375195,105,352196,306990,93,6470.87,-9.32503,5021.05,19444.5,7379.01,2219.16,1561.58,79.0489,9589.5,997.852,11.2651
401140,347068,90,278504,246261,90,2436.17,474.507,5622.07,35252,5657.62,3331.61,1212.81,455.348,15301.4,4812.71,11.2841
492282,406897,97,379620,324715,94,11311.3,363.767,3268.9,26155.6,6670.08,4355.54,1779.87,-195.891,12267.9,4790.27,11.308
306462,271667,86,257671,224312,89,1569.05,276.383,6794.67,64255.3,4033.19,2078.5,2263.76,262.332,8464.05,1240.17,11.3488
381106,321763,96,320301,266520,92,3097.77,648.238,6243.77,90355.3,6168.2,3707.8,1572.75,1720.21,15721.2,5283.57,11.3857
394603,331302,94,344080,296305,91,2569.62,667.839,3338.25,31071.8,5851.67,32899.5,-3.29298,656.314,4482.76,452.069,11.5391
399663,351257,91,293748,258468,89,4689.31,425.199,8130.69,49250,7018.58,7617.33,659.895,613.689,4264.41,9879.84,11.562
447342,388252,96,310210,273464,92,3424.8,521.357,3666.31,26291.3,11551.8,2045.28,1841.9,1563.3,14103.8,2179.66,11.568
416300,363412,93,251126,221732,91,5756.17,569.515,8494.27,86148.4,3624.52,9381.02,881.404,1594.63,10085.1,9818.2,11.8847
448146,339425,106,400870,316176,104,2808.19,324.656,6217.5,77845.6,7401.95,2846.17,3008.49,566.737,19619.1,8966.6,11.9594
395224,326245,93,293319,253816,93,3942.07,36.4998,6096.25,41644.2,8018.77,772.395,1526.23,2180.72,7369.41,5257,12.1358
386811,286843,97,441359,343261,95,3339.15,309.353,8527.44,85340,7694.18,2002.38,2370.74,1429.7,4604.67,781.427,12.2214
459456,389659,93,388310,336566,94,14034.5,383.916,3692.51,21395.5,6582.3,10762,294.364,1031.17,16717.4,3229.94,12.2653
373240,321166,91,272389,236782,87,3511.63,17.9961,6316.35,75025.8,4403.54,9968.95,360.313,-143.923,4609.08,1951.94,12.2792
403167,335334,96,269703,228645,92,3615.43,681.403,4300.86,79483,5514.09,1826.49,858.604,1176.08,3408.4,348.556,12.595
336023,271054,97,404936,340119,93,9191.84,596.21,4296.37,10157.7,7592.54,909.059,1097.09,1660.73,5114.28,2385.19,12.8589
360303,313385,93,279220,245079,88,2992.13,-2.88778,6331.53,76584.1,6144.36,5590.25,508.237,988.314,4601.74,628.255,13.0552
441598,376813,95,351087,302521,94,4178.56,636.571,6488.67,37196.2,6227.06,4832.78,2466.21,636.236,24094.1,1400.63,13.1966
417460,352249,102,266716,226499,91,3917.2,73.566,7892.07,32119.3,6798.87,515.746,1749.81,1507.89,4441.38,11808.2,13.2046
319172,264787,92,276995,242513,88,1937.17,11.4723,5077.28,37955.6,6060.69,990.3,2337.43,-164.963,6605.24,4472.18,13.6339
478838,339753,108,247951,162392,99,1935.24,128.506,3311.56,27942.8,5550.04,15852.7,1662.58,898.486,12273.7,2684.51,13.8033
439712,357128,108,352688,289439,101,3676.31,818.94,4741.14,27832.5,8046.79,4101.97,1017.2,412.91,17635.7,3587.62,13.8242
361981,328272,90,170824,155849,87,2016.16,409.344,3698.93,21373.5,3078.36,8442.13,1010.72,190.959,7065.09,4008.05,13.8531
387975,324379,93,256974,220989,89,2891.99,401.857,3528.59,92937.6,6393.36,2593.96,2692.08,1015.96,9673.89,594.003,13.8999
392254,340020,103,197761,171725,90,12794,-379.718,3462.42,44258.4,3756.77,18838.2,2132.06,1102.11,12329.3,639.013,14.0354
406287,343829,91,305311,266507,89,4827.37,87.54,8917.32,55958.9,6802.4,3183.14,866.563,1089.87,4371.12,10043.6,14.1848
409362,344464,96,294903,250194,93,4339.02,545.093,6778.87,53505.9,4231.72,7409.98,1856.67,102.936,3603.93,3351.31,14.2525
434179,376845,91,321049,280214,90,2373.24,188.322,3410.93,51495.2,7406.38,13203.5,2099.57,1099.17,15601.4,380.58,14.3422
375347,335241,90,280316,251721,88,723.477,508.918,6028.95,130518,2762.93,13246.7,868.764,-47.6193,737.893,459.407,14.4507
456375,378029,106,263218,215430,94,3271.26,283.425,4481.34,23761.2,6093.71,3184.98,1020.12,620.934,3435.75,1102.84,14.4627
372291,320086,89,334698,286667,91,1713.34,112.144,5009.14,11604.9,6319.25,836.141,2672.47,2813.38,10605.4,4287.76,14.5763
374980,306643,103,363590,306637,92,4068.33,704.757,3227.57,66124.4,7432.18,2070.11,2116.14,1164.35,15662.9,1399.75,14.6032
473446,364509,101,280283,209527,101,2930.91,174.295,3746.33,48299.1,7093.49,4414.54,2003.59,470.312,16017.8,7378.97,14.6081
431170,366379,94,265204,230847,91,7444.57,285.916,4287.62,36078.2,6849.63,2608.35,-288.549,1017.29,3358.89,1473.78,14.7287
440710,350710,107,253819,178764,105,2720.59,606.205,5431.36,36417.3,6048.31,1189.91,2633.14,254.811,15783.2,4602.32,14.7546
507307,359954,104,283348,204815,104,2404.36,-55.8252,5489.7,61141,5849.85,8563.83,3591.18,762.58,13527.1,5922.94,14.7695
439764,374249,100,301426,255301,105,2454.29,349.272,6455.62,27783.2,6147.71,3481.7,594.776,228.436,14024.9,6270.66,14.7864
372559,334285,89,199152,176944,87,2140.21,783.556,3557.33,29052.9,5050.18,1267.46,1265.83,1130.09,13060.4,2300.83,14.8153
391780,336911,92,357510,315125,91,3009.32,644.143,3327.28,46214.2,6081.11,10699.2,2008,641.271,12219.3,966.726,14.9608
353719,295824,95,293799,251230,91,2789.93,715.663,6448.81,46443.3,6704.73,1459.2,951.488,1814.95,2671.08,6566.59,15.0614
369812,325019,90,261445,229615,89,2236.7,306.69,6064.94,59818.3,5636.41,817.838,1880.29,842.608,9676.22,7328.79,15.0823
404988,358837,91,255851,226880,91,3782.64,354.727,4471.92,44912.3,6005.44,1545.63,1489.44,867.516,12895.2,743.852,15.1849
383364,337106,93,225164,204204,89,1351.93,178.91,4651.02,66753.2,4615.65,1585.13,1993.1,511.192,14021,5028.18,15.2984
447938,369684,94,421335,357217,95,27275.1,251.215,4225.41,75450.6,9948.96,5230.07,699.533,1180.89,5618.87,3584.87,15.5435
399339,345699,90,230145,197002,89,4639.06,930.133,9188.69,19300,6015.62,2134.17,869.402,332.235,15578.1,4441.28,15.5564
488052,328478,105,292729,189411,102,2269.43,343.631,6906.37,88208.2,5671.46,2671.31,1901,1673.54,18430.9,7816.06,15.5993
439262,370817,101,301116,257062,93,5378.19,546.602,7842.62,62967.3,7303.13,31699.9,2250.65,281.885,11821.2,419.18,15.6919
470348,390465,97,295589,249076,94,3578.22,84.3634,4892.06,12729.1,7127.89,5666.3,1187.86,830.14,2880.6,4111.32,15.7646
465502,395382,92,339630,297066,94,3879.27,561.583,3862.28,60589.8,6206.16,3184.33,2350.34,1719.82,13582.7,639.489,15.9917
433905,349042,103,317272,254724,95,3031.36,-23.971,7539.01,79456.3,6207.17,3360.27,1528.46,1534.67,4742.66,1556.15,16.0166
435550,317540,108,380735,300071,102,2762.12,202.386,5721.44,48200.9,7470.91,3311.46,1693.33,892.306,16064.1,4190.82,16.0256
426408,369257,96,212177,187928,90,5777.91,258.829,3700.1,36042,4543.5,12159.7,1713.58,920.4,8045.19,2277.72,16.0993
378016,321312,92,289459,251049,89,3478.88,236.33,3383.92,75917.5,3344.79,2796.26,1329.29,539.352,2746.14,238.557,16.1531
502287,397356,112,389711,299894,112,3951.88,546.773,6076.82,63317.3,7837.88,1377.06,1327.16,1324.04,7202.72,748.611,16.184
349704,313607,88,198742,182322,84,4362.49,361.488,3699.72,13032.6,5709.84,12831,1082.76,1160.54,9045.22,4398.2,16.2248
343958,281326,104,382635,325003,91,2632.94,434.886,3884.94,35511.3,4985.99,3852.05,1665.49,1425.73,4080.71,2094.08,16.2667
386796,344145,89,279746,256425,88,3318.1,105.969,3875.25,20822.6,4375.66,-143.323,500.551,1236.86,1853.72,4701.2,16.3434
413686,337854,93,356924,301163,94,6088.23,733.332,6070.28,9115.42,7485.04,2554.47,3064.88,-547.879,16426.1,10042.3,16.4848
417700,364041,92,255816,230786,90,1145.69,889.358,3383.85,27258,6425.87,2847.18,1700.25,954.463,9709.59,4237.59,16.5227
477284,397340,96,322556,272199,93,7001.9,595.962,6783.98,15703.7,8338.27,6943.78,1291.55,644.375,6422.38,1271.83,16.6761
