"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time","SampleID"
372414,332399,92,260807,232139,88,3891.73,803.079,5507.25,35945.4,3433.5,12260.2,468.545,203.352,26787.6,613.895,1.93692,1
408351,356635,91,286860,249124,88,9529.4,261.053,8086.47,63192.2,4733.08,22123,1422.58,90.5698,36028.2,-246.422,1.95634,1
357077,311572,88,310824,262792,89,4506.15,526.918,4667.75,104465,4031.13,36854.7,2089.94,-1362.45,48722.5,149.738,1.95839,1
211597,203649,79,152974,140670,79,25559,406.525,7777.22,36963.8,1331.13,15976.1,2853.19,370.155,18709.2,1521.87,1.99518,1
339448,297408,89,323732,276164,87,3956.8,170.459,3105.86,62604.9,4074.59,3505.84,3187.3,1107.79,31239,190.607,2.00234,1
357504,320742,87,263612,227127,86,6611.44,147.241,6379.55,62716.4,4315.93,5333.63,2932.45,-190.793,32463.7,-434.62,2.08717,1
349436,307083,91,301668,257343,87,11495.1,-485.783,5869.28,114074,4478.98,17500.6,2463.74,-36.501,41131.2,-64.7439,2.23742,1
376917,324349,92,304117,257072,91,28145.6,1279.6,2976.87,66992.7,3511.44,628.928,12511,435.708,47351,-595.077,2.25378,1
308340,278818,84,252303,227759,85,3785.45,1218.45,5366.6,53094.3,3420.86,13166.8,1464.14,-870.571,40497,618.391,2.25684,1
357692,310937,89,276843,234827,89,11943.4,734.19,4074.78,37111.3,5904.08,3714.74,2061.14,803.408,49445,1054.94,2.26093,1
284631,264422,81,191387,173042,83,23051.8,59.2127,5009.33,52730.3,2761.18,1804.48,2505.89,568.192,30382,608.358,2.26196,1
331873,294009,86,288522,255688,86,4198.89,638.165,7467.76,23217.1,2285.39,1650.25,3227.82,561.782,46564.8,7418.13,2.264,1
342459,306392,91,236573,207023,85,7401.24,1425.17,4440.7,60304.4,3583.75,2509,3200.29,-183.642,39766.4,781.965,2.28751,1
305054,271194,90,302279,260574,88,4147.78,741.993,6564.14,94017.6,3795.72,22717.7,1661.86,9.68093,43266.2,2252.02,2.30897,1
