"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time","SampleID"
271346,250471,85,187057,171615,82,8884.63,883.667,3539.7,46893.9,3220.26,3440.85,2314.88,908.791,26636.2,611.004,0.0319565,1
274660,255980,81,156594,144380,81,2198.11,643.561,3358.67,36861.8,1812.96,2196.61,1675.7,743.745,15488.5,874.816,0.0402033,1
279205,261469,82,165369,155911,80,2353.18,590.487,2759.01,47983.4,2120.64,1074.87,347.098,-483.425,17500,1351.18,0.0525736,1
289238,269898,82,157348,146379,80,3792.35,-563.714,2330.5,27316.9,2747.54,-549.427,1863.29,-334.524,21199.7,1847.1,0.109271,1
263081,244835,80,188838,173333,82,1959.91,-63.4017,3962.95,59714.3,2446.12,1123.72,1310.31,836.493,21496.8,1837.18,0.118548,1
272990,258480,81,160463,143867,82,2959.97,577.434,3297.04,49847.9,2883.12,5435.06,665.915,537.668,16909.7,1480.18,0.131949,1
283999,266560,84,160538,150100,80,2456.96,682.625,5290,71502.5,2371.49,4357.91,1460.4,56.598,19701.7,1645.66,0.138135,1
276553,252065,84,184733,165549,82,2573.7,-29.7246,2788.28,16049.6,2812.21,693.97,2238.74,903.407,14387.5,1558.88,0.140196,1
285961,261220,97,171810,155817,97,3397.04,-1014.86,4365.92,42107.1,2834.04,1318.4,826.678,-174.894,20594.8,655.818,0.154628,1
288814,266972,82,165943,153846,81,3353.65,-561.954,2626.78,31534.1,3568.62,4419.15,1209.26,745.714,20634.7,1281.86,0.174214,1
291112,273962,81,150890,136825,80,2746.31,2952.76,2568.73,53575,4050.53,2869.23,471.269,1885.69,19123.3,1546.54,0.182461,1
248658,233677,81,129288,118712,79,1844.02,-395.088,2404.48,23702.2,1818.51,992.4,1289.24,307.362,14475.3,734.319,0.191739,1
286523,263661,95,169951,155035,81,3345.37,232.69,2260.75,31470,3068.25,1695.76,1212.22,594.98,14751.6,46.6493,0.19277,1
288964,269217,90,147229,135989,81,8961.38,449.606,3864.15,56813.4,2914.39,1093.26,1608.26,1122.54,11652.3,-150.65,0.209263,1
262152,246553,81,163581,153524,78,1946.85,346.457,2343.46,30867.4,2166.36,-2.94422,1534.82,1061.59,17495.6,3162.85,0.235035,1
274832,252228,81,183915,164115,83,2347.71,1048.84,5680.41,43922.5,1444.78,1513.09,1967.15,376.47,21305.1,2375.94,0.319565,1
223001,201102,80,220952,198214,82,2207.37,681.785,6893.3,56627.6,2215.8,1122.23,2549.49,-502.185,27061.9,2307.18,0.319565,1
300442,276576,87,151774,140428,80,4334.1,924.832,4416.9,29785.6,3464.8,2145,561.165,335.596,18949.4,677.125,0.321627,1
287407,264521,84,175749,159841,81,2266.22,1524.93,3421.41,48842.1,2480.59,2051.63,2648.65,813.067,18137.4,1834.02,0.343275,1
306328,282950,84,182916,155379,84,3282.23,49.7392,6268.65,84869.4,3285.26,10231.3,410.522,692.45,22608.3,1824.32,0.36183,1
275645,260151,81,127386,116052,80,1711.4,206.703,4321.89,56439.6,196.012,1238.32,408.923,262.901,18608.6,655.349,0.368015,1
294912,273902,89,162165,147380,81,4552.16,1325.82,5807.06,64334.1,2299.73,2511.35,1698.3,495.741,26044.2,1241.09,0.376262,1
250765,241094,82,140141,131554,78,2455.57,-176.248,3682.14,45088.8,2473.18,336.685,1496.73,217.241,15005.8,934.394,0.378324,1
285272,262753,84,139420,127997,81,1070.85,1257.36,4164.79,68995.5,4208.12,862.818,1079.37,409.976,2042.87,1363.52,0.38554,1
